asset,event,slug,ts,ask,n_ask,gap,label,delta,ret_T,covd,limit,fill_t,ev_taker,fill_1800,ev_am_1800,ev_fb_1800,fill_7200,ev_am_7200,ev_fb_7200,fill_14400,ev_am_14400,ev_fb_14400
BTC,2025-11-25,bitcoin-above-86k-on-november-25,1763588700,0.75,0.75,0.05190077539717153,1,4.435285807705786,-0.03736246189010496,True,0.74,,0.40258819696213083,False,,0.40258819696213083,False,,0.2688601969621308,False,,0.2499801969621308
BTC,2025-11-25,bitcoin-above-86k-on-november-25,1763675100,0.58,0.58,0.06585749759460757,1,5.980173355697203,-0.004631127814460276,True,0.57,,0.4306429471628636,False,,0.4306429471628636,False,,0.4306429471628636,False,,0.4306429471628636
BTC,2025-11-25,bitcoin-above-86k-on-november-25,1763761500,0.33,0.33,0.13690341952914925,1,6.494161201472163,0.022394832872679866,True,0.32,,0.509087345244789,False,,0.509087345244789,False,,0.509087345244789,False,,0.509087345244789
BTC,2025-11-26,bitcoin-above-86k-on-november-26,1763736300,0.4,0.4,0.05590752385598757,1,5.019951055826947,0.03430986964095143,True,0.39,,0.41096613367062085,False,,0.43127413367062095,False,,0.47205813367062077,False,,0.3705181336706209
BTC,2025-11-27,bitcoin-above-86k-on-november-27,1763730900,0.32,0.39,0.07132734845824018,1,4.3038407017435025,0.08714325805671905,True,0.31,,0.21829629909295512,False,,0.18789729909295527,False,,0.21829629909295512,False,,0.2590242990929552
BTC,2025-11-29,bitcoin-above-86k-on-november-29,1764111600,0.62,0.62,0.06099641352635354,1,7.742880194971829,0.037694488309035705,True,0.61,,0.07164409301237029,False,,0.07164409301237029,False,,0.07164409301237029,False,,-0.045331906987629705
BTC,2025-11-30,bitcoin-above-86k-on-november-30,1764112500,0.62,0.62,0.0570324409455667,1,6.810339811025199,0.04366088657320363,True,0.61,,0.0661625259858557,False,,0.017177525985855646,False,,0.0074225259858556325,False,,-0.03145747401414428
BTC,2025-12-01,bitcoin-above-88k-on-december-1,1764111600,0.43,0.43,0.05596044371395964,0,6.709293279684951,-0.035115521531595466,False,0.42,,-0.2115566673754343,False,,-0.2115566673754343,False,,-0.2115566673754343,False,,-0.2115566673754343
BTC,2025-12-01,bitcoin-above-88k-on-december-1,1764198000,0.44,0.44,0.3031869681460447,0,7.138145186973981,-0.065946202738257,False,0.43,,0.013485569675299625,False,,0.013485569675299625,False,,0.013485569675299625,False,,-0.3691434303247004
BTC,2025-12-02,bitcoin-above-88k-on-december-2,1764112500,0.45,0.45,0.05182809050234011,1,6.151327911427689,0.034518094506331934,True,0.44,,0.3203428818139016,False,,0.3203428818139016,False,,0.3203428818139016,False,,0.3203428818139016
BTC,2025-12-02,bitcoin-above-88k-on-december-2,1764206100,0.68,0.68,0.059023225127551315,1,6.331365032727856,0.0024772995822634654,True,0.67,,0.2890833120492657,False,,0.2890833120492657,False,,0.2890833120492657,False,,0.2890833120492657
BTC,2026-01-15,bitcoin-above-88k-on-january-15,1767972600,0.74,0.74,0.0822355592496119,1,5.754980276642732,0.054543928982172266,True,0.73,,-0.06736723550300325,False,,-0.06736723550300325,False,,-0.06736723550300325,False,,-0.09629623550300326
BTC,2026-01-15,bitcoin-above-88k-on-january-15,1768234500,0.82,0.82,0.057655931190857546,1,5.840622175860586,0.05331094953497554,True,0.81,,-0.14170111407016273,False,,-0.14170111407016273,False,,-0.14170111407016273,False,,-0.14170111407016273
BTC,2025-11-25,bitcoin-above-88k-on-november-25,1763588700,0.63,0.63,0.06183029373239912,0,5.447032248164202,-0.03736246189010496,True,0.62,,-0.4428024652137923,False,,-0.4428024652137923,False,,-0.4428024652137923,False,,-0.4428024652137923
BTC,2025-11-25,bitcoin-above-88k-on-november-25,1763744400,0.2,0.2,0.10460889444365729,0,5.114066466340076,0.02639848495083563,True,0.19,,-0.34620360664925165,False,,-0.34620360664925165,False,,-0.34620360664925165,False,,-0.34620360664925165
