asset,event,slug,ts,T_pm,bid,ask,fv,gap,label,delta,ret_T,S_bin,tte_d,covd,L_bid+1c,ft_bid+1c,L_mid-1c,ft_mid-1c,L_ask-1c,ft_ask-1c,chase_ft,chase_L,chase_state
BTC,2025-10-21,bitcoin-above-102k-on-october-21,1760630400,1761062460,0.862,0.895,0.9021318689040668,0.030131868904066827,1,3.9919556166072736,0.04335818429431848,108549.21,5.000694444444444,False,0.872,,0.8685,,0.885,,,,na
BTC,2025-10-22,bitcoin-above-102k-on-october-22,1761087600,1761148860,0.943,0.978,0.9916623713877705,0.03866237138777051,1,1.956588633007127,-0.0060606708731059285,109066.98,0.7090277777777778,False,0.953,,0.9505,,0.968,,,,na
BTC,2025-10-23,bitcoin-above-102k-on-october-23,1761086700,1761235260,0.932,0.972,0.9674942558287318,0.025494255828731882,1,2.92831908901508,0.006827673734200001,109167.44,1.7194444444444446,False,0.942,,0.942,,0.962,,,,na
BTC,2025-10-24,bitcoin-above-102k-on-october-24,1761086700,1761321660,0.896,0.943,0.9423837462124227,0.036383746212422685,1,3.4132362314633835,0.008446972731638703,109167.44,2.7194444444444446,False,0.906,,0.9095,,0.933,,,,na
BTC,2025-10-25,bitcoin-above-102k-on-october-25,1761090300,1761408060,0.875,0.914,0.9120195947835756,0.02701959478357563,1,4.033864266035438,0.026437308103239812,108506.67,3.6777777777777776,False,0.885,,0.8845,,0.904,,,,na
BTC,2025-10-30,bitcoin-above-102k-on-october-30,1761303600,1761840060,0.9,0.95,0.9414181114870273,0.03141811148702722,1,2.6316903173888258,-0.031916552185650454,111114.03,6.209027777777778,False,0.91,,0.915,,0.94,,,,na
BTC,2025-10-31,bitcoin-above-102k-on-october-31,1761850800,1761926460,0.926,0.961,0.9615962985270565,0.02559629852705647,1,4.088563449500008,0.030565066801545627,106837.09,0.8756944444444444,False,0.936,,0.9335,,0.951,,,,na
BTC,2025-11-01,bitcoin-above-104k-on-november-1,1761829200,1762012860,0.838,0.865,0.8789214369372199,0.030921436937219937,1,5.963853112114395,0.01707152103055096,108387.86,2.1256944444444446,False,0.848,,0.8415,,0.855,,,,na
BTC,2025-11-10,bitcoin-above-104k-on-november-10,1762533900,1762794060,0.19,0.24,0.23313460995545546,0.033134609955455446,1,8.477692157702998,0.03739849181744413,101413.1,3.0111111111111115,False,0.2,,0.205,,0.23,,,,na
BTC,2025-11-10,bitcoin-above-104k-on-november-10,1762779600,1762794060,0.941,0.965,0.9774197897805756,0.026419789780575686,1,6.147345224585931,-0.00631149129313918,105944.17,0.16736111111111113,False,0.951,,0.943,,0.955,,,,na
BTC,2025-11-11,bitcoin-above-104k-on-november-11,1762549200,1762880460,0.45,0.5,0.4863600888962264,0.026360088896226375,0,10.338153460966439,-0.0034809915233467367,103783.09,3.8340277777777776,True,0.46,1762562304.276,0.465,1762562304.276,0.49,1762562304.276,,,cancelled_gap
BTC,2025-11-11,bitcoin-above-104k-on-november-11,1762809300,1762880460,0.76,0.79,0.8034018663966986,0.03340186639669862,0,15.302471847963403,-0.020779494980104868,105594.0,0.8236111111111112,False,0.77,,0.765,,0.78,,,,na
BTC,2025-11-15,bitcoin-above-104k-on-november-15,1762891200,1763226060,0.4,0.45,0.44808396540321915,0.03808396540321918,0,9.270914636752481,-0.06955590375830249,103126.39,3.8756944444444446,False,0.41,,0.415,,0.44,,,,na
BTC,2025-11-16,bitcoin-above-104k-on-november-16,1762988400,1763312460,0.28,0.32,0.3153265990888578,0.025326599088857815,0,8.731410757782369,-0.07846105909800903,101978.96,3.7506944444444446,False,0.29,,0.29,,0.31,,,,na
BTC,2025-11-17,bitcoin-above-104k-on-november-17,1762891200,1763398860,0.42,0.47,0.45682487842307684,0.026824878423076848,0,7.5210254788986735,-0.09004704434798826,103126.39,5.875694444444444,True,0.43,,0.435,,0.46,,,,cancelled_gap
BTC,2025-11-17,bitcoin-above-104k-on-november-17,1762992000,1763398860,0.28,0.32,0.3223316740305329,0.03233167403053294,0,7.588036672575057,-0.07567025080059199,101654.37,4.709027777777778,False,0.29,,0.29,,0.31,,,,na
BTC,2025-11-19,bitcoin-above-104k-on-november-19,1762992000,1763571660,0.32,0.36,0.3576863976581211,0.027686397658121087,0,6.480130095559579,-0.12121456867731098,101654.37,6.709027777777777,False,0.33,,0.33,,0.35,,,,na
BTC,2025-11-19,bitcoin-above-104k-on-november-19,1763113500,1763571660,0.06,0.11,0.10108441691722758,0.031084416917227575,0,3.3214205451679084,-0.07592371188422278,97153.06,5.302777777777778,False,0.07,,0.075,,0.1,,,,na
BTC,2025-11-03,bitcoin-above-104k-on-november-3,1761828300,1762189260,0.815,0.862,0.8554678610325527,0.030467861032552723,1,5.609196792133869,-0.017717274710317255,108500.27,4.177777777777778,False,0.825,,0.8285,,0.852,,,,na
BTC,2025-11-03,bitcoin-above-104k-on-november-3,1761966000,1762189260,0.944,0.972,0.9815163039980442,0.027516303998044278,1,2.2399633397892913,-0.029536522737621668,109790.27,2.5840277777777776,False,0.954,,0.948,,0.962,,,,na
BTC,2025-11-04,bitcoin-above-104k-on-november-4,1762183800,1762275660,0.719,0.747,0.8019893318687569,0.07298933186875689,0,12.066333832066297,-0.037416834625345896,105992.64,1.0631944444444446,False,0.729,,0.723,,0.737,,,,na
BTC,2025-11-04,bitcoin-above-104k-on-november-4,1762270200,1762275660,0.697,0.716,0.7428029432228123,0.0358029432228123,0,46.460391509551386,-0.02290893222362865,104466.01,0.06319444444444444,False,0.707,,0.6965,,0.706,,,,na
BTC,2025-11-05,bitcoin-above-104k-on-november-5,1762186500,1762362060,0.709,0.754,0.7523426012309813,0.03334260123098132,0,9.516757633599566,-0.021797266759990448,106073.24,2.0319444444444446,False,0.719,,0.7215,,0.744,,,,na
BTC,2025-11-06,bitcoin-above-104k-on-november-6,1762300800,1762448460,0.23,0.26,0.2661682832589241,0.02616828325892412,0,8.174067732885543,-0.005066151679827849,101497.22,1.7090277777777778,False,0.24,,0.235,,0.25,,,,na
BTC,2025-11-07,bitcoin-above-104k-on-november-7,1762281900,1762534860,0.24,0.27,0.28364411912748017,0.033644119127480165,0,6.945566916451923,-0.0021501185905315493,101266.0,2.9277777777777776,False,0.25,,0.245,,0.26,,,,na
BTC,2025-11-07,bitcoin-above-104k-on-november-7,1762376400,1762534860,0.45,0.48,0.5085441550070855,0.04854415500708548,0,13.12335197224149,-0.027166096619365615,103831.22,1.8340277777777778,False,0.46,,0.455,,0.47,,,,na
BTC,2025-11-08,bitcoin-above-104k-on-november-8,1762297200,1762621260,0.26,0.3,0.30789095115680837,0.03789095115680835,0,6.559000970700949,0.005573618918444191,101295.71,3.7506944444444446,False,0.27,,0.27,,0.29,,,,na
BTC,2025-11-08,bitcoin-above-104k-on-november-8,1762394400,1762621260,0.42,0.46,0.45937641923087985,0.029376419230879858,0,11.382402212623788,-0.0146550220337405,103365.65,2.6256944444444446,False,0.43,,0.43,,0.45,,,,na
BTC,2025-11-08,bitcoin-above-104k-on-november-8,1762485300,1762621260,0.24,0.29,0.2791719202748087,0.029171920274808694,0,11.56416976068832,-0.004596541089286076,102331.16,1.5736111111111113,False,0.25,,0.255,,0.28,,,,na
BTC,2025-11-09,bitcoin-above-104k-on-november-9,1762657200,1762707660,0.03,0.06,0.06514716979572772,0.025147169795727724,0,8.669611762176773,0.02206700734913027,101633.25,0.5840277777777778,True,0.04,1762657297.631,0.035,1762657297.631,0.05,1762657297.631,1762657297.631,0.04,filled_early
BTC,2025-10-18,bitcoin-above-104k-on-october-18,1760629500,1760803260,0.895,0.925,0.9319102249016317,0.02691022490163164,1,4.827768785466275,-0.021107653564901636,109240.7,2.011111111111111,False,0.905,,0.9,,0.915,,,,na
BTC,2025-10-18,bitcoin-above-104k-on-october-18,1760747400,1760803260,0.929,0.96,0.9739246868760547,0.03492468687605477,1,7.4391687953647985,0.002012231760891512,106744.04,0.6465277777777778,False,0.939,,0.9345,,0.95,,,,na
BTC,2025-10-19,bitcoin-above-104k-on-october-19,1760632200,1760889660,0.811,0.839,0.8659951925318032,0.044995192531803285,1,6.233104614963305,0.0031975758484506602,108133.98,2.9798611111111106,False,0.821,,0.815,,0.829,,,,na
BTC,2025-10-20,bitcoin-above-104k-on-october-20,1760602500,1760976060,0.878,0.924,0.9153329743694203,0.027332974369420282,1,3.9400755768245923,0.001300484252358066,110656.0,4.323611111111111,False,0.888,,0.891,,0.914,,,,na
