asset,slug,ts,event,entry,fv,fv_sea,tte_d,label,ev_raw,ev_hedged
SOL,solana-above-120-on-december-16,1765881900,2025-12-16,0.98,0.9980900929841198,0.9936334096077206,0.2611111111111111,1,0.018628000000000016,0.018361121179541258
BTC,bitcoin-above-88k-on-december-17,1765984500,2025-12-17,0.96,0.9996909599215937,0.9938392650758278,0.07361111111111111,0,-0.962688,-0.9563928582329143
BTC,bitcoin-above-84k-on-december-18,1766061900,2025-12-18,0.969,0.9982876693980725,0.9917394074850868,0.17777777777777776,1,0.028897270000000027,0.02599718198826276
BTC,bitcoin-above-86k-on-december-20,1766227500,2025-12-20,0.988,0.9999895488555282,0.9999767451704761,0.2611111111111111,1,0.01117008000000001,0.011171684284123058
BTC,bitcoin-above-90k-on-january-8,1767890700,2026-01-08,0.93,0.9996258232096342,0.9952753477380665,0.01111111111111111,1,0.06544299999999996,0.0641585194425214
BTC,bitcoin-above-92k-on-january-13,1768320000,2026-01-13,0.94,0.9998986552604084,0.9962824758535183,0.04236111111111111,1,0.056052000000000046,0.05614002884630668
SOL,solana-above-90-on-february-2,1770023700,2026-02-02,0.98,0.9976749443017984,0.9934869596147811,0.3236111111111111,1,0.018628000000000016,0.013649454284360082
SOL,solana-above-100-on-february-2,1770045300,2026-02-02,0.949,0.9996618777287607,0.9940825404134397,0.07361111111111111,1,0.04761207000000004,0.047418176083149015
SOL,solana-above-80-on-february-5,1770306300,2026-02-05,0.984,0.9993496787186672,0.9947654620572707,0.05277777777777778,1,0.014897920000000012,0.015233242378688472
ETH,ethereum-above-2000-on-february-7,1770480900,2026-02-07,0.97,0.9999048363835136,0.9986917261720075,0.03194444444444444,1,0.027963000000000026,0.02808521546714531
ETH,ethereum-above-2000-on-february-8,1770560100,2026-02-08,0.988,0.9990419063158306,0.9992542812064091,0.11527777777777777,1,0.01117008000000001,0.014561458090341005
ETH,ethereum-above-1900-on-february-9,1770643800,2026-02-09,0.968,0.9994427399000773,0.9928039378496101,0.14652777777777778,1,0.029831680000000027,0.02725485442713954
ETH,ethereum-above-1900-on-february-10,1770731100,2026-02-10,0.972,0.9996732087117141,0.9941541933022271,0.1361111111111111,1,0.02609488000000002,0.026088069067897342
ETH,ethereum-above-1800-on-february-11,1770806700,2026-02-11,0.97,0.9969025794648059,0.9923362324955852,0.2611111111111111,1,0.027963000000000026,0.03346331309258036
ETH,ethereum-above-1900-on-february-11,1770819300,2026-02-11,0.965,0.9989830852153527,0.9901492745772839,0.11527777777777777,1,0.032635750000000026,0.0438789441518103
ETH,ethereum-above-1900-on-february-12,1770905700,2026-02-12,0.966,0.9990230545321811,0.9912818851141592,0.11527777777777777,1,0.03170092000000003,0.04303923674845598
ETH,ethereum-above-2000-on-february-14,1771060500,2026-02-14,0.97,0.9979822723986719,0.9978636672174324,0.3236111111111111,1,0.027963000000000026,0.027568834992064972
BTC,bitcoin-above-68k-on-february-14,1771064100,2026-02-14,0.966,0.9958329124678755,0.9947381571499767,0.28194444444444444,1,0.03170092000000003,0.030212705746866696
BTC,bitcoin-above-68k-on-february-15,1771150500,2026-02-15,0.979,0.9898350306442155,0.9969519038052761,0.28194444444444444,1,0.01956087000000002,0.058257743052410535
ETH,ethereum-above-1900-on-february-16,1771245000,2026-02-16,0.967,0.9985873983543486,0.9911858508498241,0.18819444444444447,1,0.030766230000000026,0.03421564254469455
BTC,bitcoin-above-66k-on-february-16,1771248600,2026-02-16,0.972,0.9993296296423742,0.9902600118964019,0.14652777777777778,1,0.02609488000000002,0.028602806537805392
SOL,solana-above-80-on-february-16,1771253100,2026-02-16,0.987,0.9992808312690735,0.9908734745269366,0.09444444444444444,1,0.012101830000000011,0.012455161125366107
ETH,ethereum-above-1900-on-february-17,1771338600,2026-02-17,0.9,0.9996140751122086,0.9919115693818279,0.10486111111111111,1,0.09369999999999998,0.09423174192802108
ETH,ethereum-above-1900-on-february-18,1771425900,2026-02-18,0.97,0.9991691399484285,0.9907179151432027,0.09444444444444444,1,0.027963000000000026,0.027852006304217407
BTC,bitcoin-above-64k-on-february-19,1771495200,2026-02-19,0.97,0.9968515379084346,0.9945556634709974,0.2923611111111111,1,0.027963000000000026,0.0338239280383144
ETH,ethereum-above-1700-on-february-24,1771940700,2026-02-24,0.986,0.9993356801635688,0.9911903153068864,0.1361111111111111,1,0.01303372000000001,0.009959911854731381
BTC,bitcoin-above-66k-on-february-25,1772034300,2026-02-25,0.988,0.9998049052564021,0.9957352765433838,0.05277777777777778,1,0.01117008000000001,0.009829032508418035
BTC,bitcoin-above-66k-on-february-26,1772112600,2026-02-26,0.968,0.9989026753191983,0.9911307209894782,0.14652777777777778,1,0.029831680000000027,0.03607564571386009
BTC,bitcoin-above-60k-on-february-28,1772270100,2026-02-28,0.966,0.9942750734473093,0.9937229488655631,0.3236111111111111,1,0.03170092000000003,0.006193182325503654
ETH,ethereum-above-1700-on-february-28,1772278200,2026-02-28,0.967,0.9994670209172373,0.9990807120992472,0.2298611111111111,1,0.030766230000000026,0.028888790966566966
BTC,bitcoin-above-62k-on-february-28,1772286300,2026-02-28,0.98,0.9966839148121635,0.9924081842185707,0.1361111111111111,1,0.018628000000000016,0.0024263008778869118
