asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
XRP,2025-11-18,1763109000,long,0.04921594267247076,0,0,0.0,0.0
XRP,2025-11-18,1763109000,short,0.030784057327529313,0,0,0.0,0.0
XRP,2025-11-18,1763109000,long,0.04921594267247076,0,0,0.0,0.0
XRP,2025-11-18,1763109000,short,0.030784057327529313,0,0,0.0,0.0
XRP,2025-11-18,1763109000,long,0.03232202619715463,0,0,0.0,0.0
XRP,2025-11-18,1763109000,short,0.05067797380284522,0,0,0.0,0.0
XRP,2025-11-20,1763109900,short,0.08143619472933916,0,0,0.0,0.0
XRP,2025-11-18,1763109900,long,0.034380587227595294,0,0,0.0,0.0
XRP,2025-11-18,1763109900,short,0.06161941277240479,0,0,0.0,0.0
XRP,2025-11-18,1763109900,long,0.034380587227595294,0,0,0.0,0.0
XRP,2025-11-18,1763109900,short,0.06161941277240479,0,0,0.0,0.0
ETH,2025-11-20,1763109900,short,0.025398649973075615,0,0,0.0,0.0
ETH,2025-11-19,1763110800,long,0.025743742400768044,0,0,0.0,0.0
XRP,2025-11-18,1763111700,short,0.022220623097010006,0,0,0.0,0.0
XRP,2025-11-18,1763111700,long,0.034779376902990045,0,0,0.0,0.0
BTC,2025-11-18,1763113500,short,0.038658224726381585,0,0,0.0,0.0
BTC,2025-11-18,1763113500,long,0.021341775273618246,1,0,-0.25,0.007515585487530452
BTC,2025-11-18,1763113500,short,0.038658224726381585,0,0,0.0,0.0
BTC,2025-11-18,1763113500,long,0.021341775273618246,1,0,-0.25,0.007515585487530452
ETH,2025-11-20,1763113500,long,0.03853340644668668,0,0,0.0,0.0
ETH,2025-11-20,1763113500,short,0.04146659355331317,0,0,0.0,0.0
ETH,2025-11-18,1763114400,short,0.0325938793441054,0,0,0.0,0.0
ETH,2025-11-19,1763118000,long,0.03664878557003659,0,0,0.0,0.0
ETH,2025-11-19,1763118000,short,0.02335121442996335,1,0,-0.16000000000000003,-0.3576296259030919
ETH,2025-11-20,1763120700,short,0.0499592854777724,0,0,0.0,0.0
ETH,2025-11-20,1763120700,long,0.020040714522227443,1,0,0.57,0.20208227356086222
ETH,2025-11-20,1763120700,short,0.0499592854777724,0,0,0.0,0.0
ETH,2025-11-20,1763120700,long,0.020040714522227443,1,0,0.57,0.20208227356086222
SOL,2025-11-20,1763122500,short,0.024592653098535422,1,0,0.10399999999999998,0.18478440786839118
ETH,2025-11-18,1763122500,long,0.020675531610262476,0,0,0.0,0.0
XRP,2025-11-18,1763123400,long,0.03565599223105265,0,0,0.0,0.0
XRP,2025-11-18,1763123400,short,0.02465428638852296,0,0,0.0,0.0
XRP,2025-11-18,1763123400,long,0.025345713611476972,0,0,0.0,0.0
XRP,2025-11-18,1763123400,short,0.02465428638852296,0,0,0.0,0.0
XRP,2025-11-18,1763123400,long,0.025345713611476972,0,0,0.0,0.0
XRP,2025-11-20,1763124300,short,0.05605584956815601,0,0,0.0,0.0
XRP,2025-11-20,1763124300,long,0.023944150431843836,0,0,0.0,0.0
XRP,2025-11-18,1763124300,short,0.028697522730909086,0,0,0.0,0.0
ETH,2025-11-19,1763127000,long,0.026042707751406935,0,0,0.0,0.0
ETH,2025-11-19,1763127000,short,0.053472254762786386,0,0,0.0,0.0
ETH,2025-11-19,1763128800,long,0.020207165524351645,1,0,0.5599999999999999,0.3296787295103475
ETH,2025-11-19,1763128800,short,0.0557928344756482,0,0,0.0,0.0
ETH,2025-11-19,1763132400,long,0.03177369925365281,0,0,0.0,0.0
ETH,2025-11-19,1763132400,short,0.04422630074634726,0,0,0.0,0.0
ETH,2025-11-19,1763142300,short,0.028131162912371943,0,0,0.0,0.0
XRP,2025-11-18,1763142300,long,0.11554796274684054,0,0,0.0,0.0
ETH,2025-11-18,1763142300,short,0.020220661246935556,0,0,0.0,0.0
ETH,2025-11-20,1763142300,short,0.025594636424601025,0,0,0.0,0.0
ETH,2025-11-20,1763142300,long,0.024405363575398686,0,0,0.0,0.0
ETH,2025-11-20,1763142300,short,0.025594636424601025,0,0,0.0,0.0
ETH,2025-11-20,1763142300,long,0.024405363575398686,0,0,0.0,0.0
XRP,2025-11-18,1763145900,long,0.0431552360196199,0,0,0.0,0.0
BTC,2025-11-20,1763150400,long,0.027351582976115285,0,0,0.0,0.0
BTC,2025-11-20,1763151300,short,0.0216596644844943,0,0,0.0,0.0
ETH,2025-11-20,1763154900,long,0.021861838813901358,0,0,0.0,0.0
BTC,2025-11-20,1763158500,short,0.020155290679435778,0,0,0.0,0.0
BTC,2025-11-19,1763161200,short,0.06093221683589378,0,0,0.0,0.0
ETH,2025-11-20,1763161200,long,0.03034292234496916,0,0,0.0,0.0
ETH,2025-11-20,1763161200,short,0.029657077655030784,0,0,0.0,0.0
BTC,2025-11-19,1763161200,long,0.034509751291292856,0,0,0.0,0.0
BTC,2025-11-20,1763162100,long,0.0211348131071889,0,0,0.0,0.0
BTC,2025-11-20,1763166600,short,0.028522745180741937,0,0,0.0,0.0
BTC,2025-11-20,1763172000,long,0.021128722442862014,0,0,0.0,0.0
BTC,2025-11-20,1763172000,short,0.02887127755713792,0,0,0.0,0.0
ETH,2025-11-20,1763175600,long,0.03913201185134696,0,0,0.0,0.0
BTC,2025-11-19,1763179200,short,0.03588191924344719,0,0,0.0,0.0
BTC,2025-11-20,1763181000,long,0.021697884752484686,0,0,0.0,0.0
BTC,2025-11-20,1763181900,long,0.03142214339802285,0,0,0.0,0.0
BTC,2025-11-20,1763182800,short,0.02348285760349811,1,0,-0.13,0.2234071830502466
BTC,2025-11-20,1763182800,short,0.020417224743932594,0,0,0.0,0.0
BTC,2025-11-19,1763182800,long,0.02397263491039947,0,0,0.0,0.0
BTC,2025-11-20,1763182800,short,0.02061791401678248,0,0,0.0,0.0
BTC,2025-11-20,1763183700,short,0.021613986950107522,0,0,0.0,0.0
BTC,2025-11-20,1763183700,long,0.02438601304989252,0,0,0.0,0.0
BTC,2025-11-20,1763186400,long,0.022081361083348572,1,0,-0.12,0.259539195658343
BTC,2025-11-20,1763186400,long,0.028056859693514458,1,0,-0.37,0.25902559849199003
BTC,2025-11-20,1763186400,short,0.021943140306485587,0,0,0.0,0.0
ETH,2025-11-20,1763193600,long,0.034668824899164896,0,0,0.0,0.0
ETH,2025-11-20,1763193600,short,0.025331175100834935,0,0,0.0,0.0
ETH,2025-11-20,1763193600,long,0.034668824899164896,0,0,0.0,0.0
ETH,2025-11-20,1763193600,short,0.025331175100834935,0,0,0.0,0.0
BTC,2025-11-20,1763193600,long,0.027548892525201207,0,0,0.0,0.0
ETH,2025-11-20,1763196300,short,0.02043583979079666,0,0,0.0,0.0
BTC,2025-11-18,1763199900,short,0.02623089638437126,1,0,0.16999999999999993,0.014453286266223525
ETH,2025-11-20,1763201700,long,0.029030729140565592,0,0,0.0,0.0
ETH,2025-11-20,1763207100,long,0.023510585212048962,1,0,0.62,0.19510359519646842
ETH,2025-11-20,1763207100,short,0.03648941478795109,1,0,0.76,0.3925484091333751
ETH,2025-11-20,1763207100,long,0.023510585212048962,1,0,0.62,0.19510359519646842
ETH,2025-11-20,1763207100,short,0.03648941478795109,1,0,0.76,0.3925484091333751
BTC,2025-11-18,1763214300,long,0.02180965763782572,1,0,-0.14,0.02130623556008035
ETH,2025-11-20,1763215200,short,0.02524891356505843,2,1,0.17000000000000004,0.19943000009323242
BTC,2025-11-20,1763236800,long,0.02929173932816731,0,0,0.0,0.0
BTC,2025-11-20,1763236800,short,0.020708260671832845,1,0,-0.34,0.2563785492456851
BTC,2025-11-20,1763238600,short,0.02713567646302395,0,0,0.0,0.0
BTC,2025-11-20,1763238600,long,0.022864323536975872,0,0,0.0,0.0
BTC,2025-11-20,1763244900,short,0.024384604023097722,1,0,-0.3,0.23757844923361243
BTC,2025-11-20,1763244900,long,0.025615395976902322,0,0,0.0,0.0
BTC,2025-11-20,1763249400,short,0.030644766172832183,1,0,0.884,0.5358727029933427
BTC,2025-11-20,1763249400,long,0.023355233827167865,1,0,0.79,0.3141491369259245
BTC,2025-11-20,1763259300,long,0.024436391609331753,1,0,0.63,0.060390515793177335
SOL,2025-11-19,1763260200,long,0.059114802153307,0,0,0.0,0.0
SOL,2025-11-20,1763260200,short,0.03961984653275685,0,0,0.0,0.0
SOL,2025-11-20,1763260200,long,0.0482745176441004,0,0,0.0,0.0
BTC,2025-11-20,1763261100,short,0.02265106160164998,1,0,0.8,0.32073877982051496
BTC,2025-11-20,1763261100,long,0.027348938398350064,1,0,0.66,0.07041798801448662
SOL,2025-11-20,1763262000,long,0.02782864669711249,0,0,0.0,0.0
SOL,2025-11-20,1763262000,short,0.05217135330288747,0,0,0.0,0.0
SOL,2025-11-20,1763264700,short,0.02930827905472322,0,0,0.0,0.0
SOL,2025-11-20,1763264700,long,0.029691720945276723,0,0,0.0,0.0
BTC,2025-11-20,1763267400,short,0.02660302165923656,0,0,0.0,0.0
BTC,2025-11-20,1763267400,long,0.023396978340763486,0,0,0.0,0.0
BTC,2025-11-20,1763268300,long,0.02700645190736206,0,0,0.0,0.0
BTC,2025-11-20,1763268300,short,0.02299354809263765,0,0,0.0,0.0
BTC,2025-11-20,1763269200,short,0.02700663617716892,0,0,0.0,0.0
BTC,2025-11-20,1763270100,short,0.02073685988414875,0,0,0.0,0.0
BTC,2025-11-20,1763272800,short,0.02001878712559979,0,0,0.0,0.0
BTC,2025-11-20,1763272800,long,0.02598121287440014,0,0,0.0,0.0
BTC,2025-11-20,1763273700,short,0.027706315821770966,0,0,0.0,0.0
BTC,2025-11-20,1763273700,long,0.032293684178228865,0,0,0.0,0.0
BTC,2025-11-19,1763274600,long,0.021631380257636668,1,0,-0.8210000000000001,-0.45732970874376777
ETH,2025-11-20,1763280000,short,0.03198651261708363,0,0,0.0,0.0
ETH,2025-11-20,1763280000,long,0.028013487382916313,0,0,0.0,0.0
ETH,2025-11-20,1763280000,short,0.03198651261708363,0,0,0.0,0.0
ETH,2025-11-20,1763280000,long,0.028013487382916313,0,0,0.0,0.0
BTC,2025-11-20,1763283600,long,0.02253816538294262,0,0,0.0,0.0
BTC,2025-11-20,1763283600,short,0.0274618346170572,1,0,0.24,-0.2621086688150567
ETH,2025-11-19,1763288100,long,0.035898142902603736,0,0,0.0,0.0
ETH,2025-11-19,1763288100,short,0.024843339044445023,0,0,0.0,0.0
BTC,2025-11-20,1763289000,short,0.026654936514708294,0,0,0.0,0.0
BTC,2025-11-20,1763289000,long,0.02334506348529164,1,0,-0.13,0.26475970860517967
ETH,2025-11-19,1763290800,long,0.03572654136470188,0,0,0.0,0.0
ETH,2025-11-19,1763290800,short,0.02427345863529795,0,0,0.0,0.0
BTC,2025-11-19,1763290800,short,0.02539187709660784,1,0,-0.716,-0.21927669248483717
BTC,2025-11-19,1763290800,long,0.024608122903392093,1,0,-0.843,-0.48533210636446716
ETH,2025-11-19,1763290800,short,0.02567751039118349,0,0,0.0,0.0
ETH,2025-11-20,1763293500,long,0.020095864088773396,0,0,0.0,0.0
ETH,2025-11-20,1763294400,short,0.02237487142438166,1,0,-0.62,-0.15085160005154347
ETH,2025-11-20,1763294400,long,0.027625128575618607,1,0,-0.75,-0.35831224206466067
