asset,slug,ts,event,n_ask,fv_seas,fv_flat,tte_d,label,ev_raw,ev_hedged
XRP,xrp-above-1pt4-on-february-13,1771000200,2026-02-13,0.97,0.9906426371647733,0.9885729275360888,0.021527777777777778,1,0.027963000000000026,0.04464487628244644
ETH,ethereum-above-2000-on-february-14,1771060500,2026-02-14,0.97,0.9948167483979224,0.9971138045020015,0.3236111111111111,1,0.027963000000000026,0.02756895999274298
BTC,bitcoin-above-68k-on-february-14,1771072200,2026-02-14,0.98,0.998839873466424,0.9999451379014285,0.18819444444444447,1,0.018628000000000016,0.018860814193307908
ETH,ethereum-above-1900-on-february-16,1771245900,2026-02-16,0.984,0.9933220963505147,0.9991289434319378,0.17777777777777776,1,0.014897920000000012,0.017069709267258263
SOL,solana-above-80-on-february-16,1771253100,2026-02-16,0.987,0.9912862864257552,0.9991058518270604,0.09444444444444444,1,0.012101830000000011,0.01245549725778698
ETH,ethereum-above-1900-on-february-17,1771338600,2026-02-17,0.9,0.992430836643871,0.9995537858797346,0.10486111111111111,1,0.09369999999999998,0.09423294914730519
ETH,ethereum-above-1900-on-february-18,1771426800,2026-02-18,0.979,0.9943466203636678,0.999555594161341,0.08402777777777778,1,0.01956087000000002,0.01982459249168456
BTC,bitcoin-above-64k-on-february-19,1771495200,2026-02-19,0.97,0.9902503627174807,0.995504644163284,0.2923611111111111,1,0.027963000000000026,0.03384564283277197
BTC,bitcoin-above-66k-on-february-20,1771601400,2026-02-20,0.958,0.9900034455903988,0.9983822438546947,0.06319444444444444,1,0.039183480000000034,0.03639945609130174
ETH,ethereum-above-1700-on-february-24,1771940700,2026-02-24,0.986,0.9900878595041777,0.9991067115078046,0.1361111111111111,1,0.01303372000000001,0.009992700965833011
BTC,bitcoin-above-66k-on-february-25,1772034300,2026-02-25,0.988,0.9978365253152754,0.9997899743030686,0.05277777777777778,1,0.01117008000000001,0.009836268502863541
ETH,ethereum-above-2000-on-february-25,1772037000,2026-02-25,0.986,0.9916275350607023,0.9978839812640157,0.021527777777777778,1,0.01303372000000001,0.0029619356874203574
ETH,ethereum-above-2000-on-february-26,1772123400,2026-02-26,0.67,0.9908190602857115,0.9975971770056383,0.021527777777777778,0,-0.685477,-0.6574842724443593
SOL,solana-above-80-on-february-27,1772190000,2026-02-27,0.973,0.9952051186163501,0.9983270752909109,0.25069444444444444,1,0.02516103000000002,0.0357393127891799
ETH,ethereum-above-1900-on-february-27,1772208000,2026-02-27,0.962,0.9921002217694292,0.9983978233363124,0.04236111111111111,1,0.03544108000000003,0.0412505254977247
ETH,ethereum-above-1700-on-february-28,1772278200,2026-02-28,0.967,0.9942927280100515,0.998585700201019,0.2298611111111111,1,0.030766230000000026,0.02890135984580896
BTC,bitcoin-above-62k-on-february-28,1772288100,2026-02-28,0.983,0.9967895545863912,0.9999267913115711,0.11527777777777777,1,0.015830230000000015,0.0157265578642243
BTC,bitcoin-above-64k-on-march-3,1772541000,2026-03-03,0.966,0.9909650166853471,0.9986755039207973,0.18819444444444447,1,0.03170092000000003,0.029946375525493212
ETH,ethereum-above-2000-on-march-4,1772637300,2026-03-04,0.989,0.9937785919072247,0.9993383561802063,0.07361111111111111,1,0.01023847000000001,0.006059956821073961
XRP,xrp-above-1pt4-on-march-4,1772638200,2026-03-04,0.98,0.9979001682946853,0.9982738678952793,0.06319444444444444,1,0.018628000000000016,0.017909713460718638
ETH,ethereum-above-2000-on-march-5,1772718300,2026-03-05,0.961,0.9901351047764184,0.9991104826049179,0.1361111111111111,1,0.03637647000000003,0.039383514158479266
BTC,bitcoin-above-66k-on-march-7,1772887500,2026-03-07,0.968,0.9947841412416369,0.9995170140929093,0.17777777777777776,1,0.029831680000000027,0.03026264654590432
