asset,event,ts,n_strikes,ev_gapw,ev_best1
BTC,2026-05-12,1778112000,3,-0.05866413783078957,-0.31739377815631237
ETH,2025-10-21,1760751000,3,0.2950189532951073,0.27333667517160265
ETH,2025-10-22,1760771700,1,0.4858481839686419,0.4858481839686419
ETH,2025-10-22,1760858100,1,0.4699880475670418,0.4699880475670418
ETH,2025-10-23,1760771700,2,-0.01478183679915207,-0.4220244903312112
ETH,2025-10-23,1760858100,2,0.03604166587008445,0.422870554809414
ETH,2025-10-23,1760944500,1,0.5880677747991223,0.5880677747991223
ETH,2025-10-25,1761136200,1,0.4957827155958714,0.4957827155958714
ETH,2025-10-29,1761471000,1,-0.3118665295449384,-0.3118665295449384
ETH,2025-10-30,1761484500,2,-0.13255346102438345,-0.45464166652250176
ETH,2025-11-18,1763215200,1,0.4309236414623877,0.4309236414623877
ETH,2025-11-19,1763172000,2,-0.10013922221627627,-0.4517429854486363
ETH,2025-11-19,1763258400,1,-0.44507384799159855,-0.44507384799159855
ETH,2025-11-20,1763316900,3,-0.06678878655480532,-0.02607255763710198
ETH,2025-11-23,1763586000,4,-0.1188460952296889,-0.311760586108364
ETH,2025-11-24,1763587800,6,-0.07978855464935436,-0.24094824139820048
ETH,2025-11-24,1763675100,3,-0.03260250860022817,-0.10049104685318543
ETH,2025-11-25,1763587800,5,0.04206749733680641,0.5025241494006815
ETH,2025-11-25,1763676900,3,-0.11937123453487652,0.1321773304608702
ETH,2025-11-25,1763763300,1,0.19374601562859253,0.19374601562859253
ETH,2025-11-26,1763676900,2,0.012894791459895,0.339320410390805
ETH,2025-11-26,1763763300,4,0.10139168015127073,0.0659978930330416
ETH,2025-11-27,1763732700,3,0.1521162579464098,0.16750767024189006
ETH,2025-11-27,1763961300,4,0.20264910076306494,0.3529174700686333
ETH,2025-11-30,1764111600,3,0.3510390913320875,0.49787596125356165
ETH,2025-11-30,1764198000,3,0.4119153597302583,0.598095597371363
ETH,2025-12-01,1764178200,1,-0.562936884093688,-0.562936884093688
ETH,2025-12-01,1764320400,1,0.27238017155593164,0.27238017155593164
ETH,2025-12-02,1764178200,4,0.28787787741723836,0.3880490954718326
ETH,2025-12-02,1764264600,2,0.45295583119467936,0.5937896035870956
ETH,2025-12-02,1764351000,1,0.6002247350794997,0.6002247350794997
ETH,2025-12-03,1764320400,1,0.23039602059652636,0.23039602059652636
ETH,2025-12-07,1764742500,3,-0.12469790091904617,-0.1504759526073636
ETH,2025-12-10,1764902700,1,0.07437133513716523,0.07437133513716523
ETH,2025-12-13,1765310400,1,0.4748408645837764,0.4748408645837764
ETH,2025-12-29,1766715300,3,0.1792829921865142,0.49381837873022805
ETH,2025-12-30,1766715300,3,0.21402783283166782,0.3833326384554321
ETH,2025-12-31,1766715300,1,0.41151997152202063,0.41151997152202063
ETH,2026-01-01,1766974500,1,0.37565242386980746,0.37565242386980746
ETH,2026-01-11,1767743100,1,0.07264777621011108,0.07264777621011108
ETH,2026-01-11,1767858300,2,0.1174827244238986,0.4423042841215402
ETH,2026-01-12,1767910500,1,-0.2625489003168433,-0.2625489003168433
ETH,2026-01-13,1767838500,2,-0.11419293494753313,-0.42982017074741324
ETH,2026-01-15,1768042800,1,-0.0005483986955523434,-0.0005483986955523434
ETH,2026-01-15,1768129200,1,0.00626257546909037,0.00626257546909037
ETH,2026-01-15,1768235400,2,0.11429269269493329,0.23932389703150697
ETH,2026-01-18,1768342500,2,0.5189311338214039,0.6488337576167674
ETH,2026-01-19,1768342500,1,-0.024463872155257527,-0.024463872155257527
ETH,2026-01-19,1768519800,2,0.03861541677972727,-0.2537377167130231
ETH,2026-01-22,1768761000,4,0.4233323098550161,0.3958613764782283
ETH,2026-01-25,1769004900,2,-0.3266292767933039,-0.21949757712757698
ETH,2026-01-27,1769022000,1,0.348446651299461,0.348446651299461
ETH,2026-01-28,1769024700,3,0.05616217207853899,0.37600583906580454
ETH,2026-02-03,1769784300,2,0.524756484150216,0.6710263272469696
ETH,2026-02-08,1770293700,1,0.15183359893177456,0.15183359893177456
ETH,2026-02-09,1770291000,1,0.13448449073255,0.13448449073255
ETH,2026-02-10,1770306300,3,0.18504150228261745,0.1785918249576656
ETH,2026-02-26,1771811100,2,0.17665634728949112,0.27324301638656284
ETH,2026-03-01,1772124300,2,-0.09433586637221625,-0.327981417706494
ETH,2026-03-03,1772270100,2,-0.02011012753498227,0.0037390460922639424
ETH,2026-03-17,1773360000,1,-0.15961443897668245,-0.15961443897668245
ETH,2026-03-22,1773927900,2,0.006401029882738579,-0.16189836238259125
ETH,2026-03-23,1773971100,2,0.13365734828178605,0.4249242002570272
ETH,2026-03-24,1774042200,1,-0.27648176367361005,-0.27648176367361005
ETH,2026-03-26,1774062000,2,-0.043799291035167755,-0.061519100549894984
ETH,2026-04-23,1776699000,2,0.2083290959008569,0.4511618880483334
SOL,2025-10-25,1761136200,1,0.5167386730885293,0.5167386730885293
SOL,2025-10-27,1761225300,1,0.6027684607140387,0.6027684607140387
SOL,2025-10-27,1761311700,1,0.6302483240638505,0.6302483240638505
SOL,2025-11-17,1763120700,1,-0.3651494413654961,-0.3651494413654961
SOL,2025-11-19,1763168400,1,-0.05034245471951268,-0.05034245471951268
SOL,2025-11-23,1763587800,3,0.09841278939563855,0.47011002322352924
SOL,2025-11-24,1763586000,2,0.1735473525937531,0.42237700689818924
SOL,2025-11-24,1763672400,1,0.4335869482403901,0.4335869482403901
SOL,2025-11-25,1763601300,1,0.37875009498179035,0.37875009498179035
SOL,2025-11-26,1763586000,1,0.36407140483855815,0.36407140483855815
SOL,2025-11-26,1763672400,1,0.36291580523188655,0.36291580523188655
SOL,2025-11-27,1763677800,1,0.2461115495957475,0.2461115495957475
SOL,2025-11-30,1764214200,3,-0.07127441158553614,-0.2598921243045099
SOL,2025-12-01,1764214200,2,0.306171269534699,0.24622833274442513
SOL,2025-12-11,1765164600,1,-0.1362172853464515,-0.1362172853464515
SOL,2025-12-18,1765765800,2,-0.15776109245438266,-0.3242841806157763
SOL,2026-01-06,1767393900,1,0.11776243932153518,0.11776243932153518
SOL,2026-01-07,1767529800,1,0.27707764862585055,0.27707764862585055
SOL,2026-01-08,1767485700,1,0.21916009226139835,0.21916009226139835
SOL,2026-01-15,1767909600,1,0.44031566401615735,0.44031566401615735
SOL,2026-01-15,1768177800,1,0.3650161271637138,0.3650161271637138
SOL,2026-01-21,1768589100,1,0.18737901770595933,0.18737901770595933
SOL,2026-01-22,1768592700,1,0.3950415681319679,0.3950415681319679
SOL,2026-02-08,1770306300,1,0.27530583143982656,0.27530583143982656
SOL,2026-02-09,1770317100,1,0.1680343258920373,0.1680343258920373
SOL,2026-02-10,1770307200,1,0.3573287627229546,0.3573287627229546
SOL,2026-02-10,1770450300,1,0.3194084663599884,0.3194084663599884
SOL,2026-02-11,1770336900,1,0.26841387845681464,0.26841387845681464
SOL,2026-02-11,1770485400,1,0.10979999912243801,0.10979999912243801
SOL,2026-02-12,1770329700,2,0.04100779840913893,0.23750703362943995
SOL,2026-02-12,1770485400,2,0.11680087838210668,0.1613413791104201
SOL,2026-02-24,1771689600,1,0.11527465195056308,0.11527465195056308
SOL,2026-02-25,1771689600,2,-0.04924916735387135,-0.05521012960857913
SOL,2026-02-26,1771689600,2,-0.013438660500925114,-0.012325384925306417
SOL,2026-02-28,1772034300,1,0.07149830267467785,0.07149830267467785
SOL,2026-03-03,1772199000,1,0.19701651195888914,0.19701651195888914
SOL,2026-03-05,1772331300,2,-0.23849591263746625,-0.3024733043120221
SOL,2026-03-12,1773065700,1,0.0035366208040062755,0.0035366208040062755
SOL,2026-03-31,1774542600,1,-0.037851304982912726,-0.037851304982912726
SOL,2026-04-04,1774996200,1,0.3404911509919827,0.3404911509919827
SOL,2026-04-05,1774999800,1,-0.557291355442354,-0.557291355442354
SOL,2026-04-06,1774997100,1,0.31561142282336435,0.31561142282336435
SOL,2026-04-07,1774997100,1,-0.5008139696336651,-0.5008139696336651
SOL,2026-04-09,1775158200,1,0.266192665033075,0.266192665033075
SOL,2026-04-09,1775252700,1,0.16583598748903283,0.16583598748903283
SOL,2026-04-19,1776336300,2,-0.024441895597934353,0.023177478826056606
SOL,2026-04-20,1776337200,1,0.07014389716173912,0.07014389716173912
SOL,2026-04-21,1776336300,1,0.09961249676094427,0.09961249676094427
SOL,2026-05-06,1777482000,1,-0.06550311312575394,-0.06550311312575394
SOL,2026-05-13,1778262300,1,0.5737791800908864,0.5737791800908864
XRP,2025-11-20,1763140500,1,-0.15670735670291802,-0.15670735670291802
XRP,2025-11-25,1763670600,2,0.23229635048192493,0.14625173383957163
XRP,2026-01-08,1767499200,1,0.19672712829481814,0.19672712829481814
XRP,2026-01-15,1768233600,1,0.11329898919490883,0.11329898919490883
XRP,2026-01-18,1768342500,1,0.06646615064755246,0.06646615064755246
XRP,2026-01-20,1768596300,1,-0.2105189611982627,-0.2105189611982627
XRP,2026-01-21,1768596300,2,0.09833692471787985,0.2591388345476733
XRP,2026-01-22,1768597200,1,-0.29352403491498213,-0.29352403491498213
XRP,2026-02-10,1770331500,1,0.025356902424805428,0.025356902424805428
XRP,2026-02-11,1770466500,1,-0.4010529652281838,-0.4010529652281838
XRP,2026-02-12,1770466500,1,-0.4465282993375258,-0.4465282993375258
XRP,2026-03-03,1772044200,2,-0.22176886437373375,-0.38848748284034695
XRP,2026-03-30,1774431000,1,-0.26416090747937676,-0.26416090747937676
XRP,2026-04-12,1775614500,1,0.3806392363737842,0.3806392363737842
XRP,2026-05-04,1777446000,1,-0.43325406820589263,-0.43325406820589263
