asset,event,ts,fside,overshoot,z,label,ev_raw,ev_hedged
BTC,2026-03-24,1774266300,yes,-0.0663128112232384,-1.5885002718327932,0,-0.6,-0.46867815083963626
BTC,2026-03-26,1774267200,yes,-0.051302809165366,-2.920095562278325,0,-0.51,-0.39321592501379754
BTC,2026-03-05,1772634600,no,0.05054824852147599,1.9823324499847539,1,-0.19999999999999996,-0.2554400893815102
BTC,2026-04-10,1775750400,no,0.05206030555986957,4.077218979699833,1,-0.43000000000000005,-0.3421728051587032
BTC,2026-04-12,1775747700,no,0.056370824772682404,2.2398700517513186,0,0.42999999999999994,0.35277465872169733
BTC,2026-04-13,1776031200,yes,-0.08781632391272465,-1.6250330366718364,0,-0.25,-0.378909822731069
BTC,2026-04-14,1775750400,no,0.07052177868953002,4.077218979699833,1,-0.44000000000000006,-0.06050300463485675
BTC,2026-04-14,1776031200,yes,-0.05622787511938376,-1.6250330366718364,1,0.6599999999999999,-0.015349152088684703
BTC,2026-04-15,1775750400,no,0.055795980093367004,4.077218979699833,1,-0.44000000000000006,-0.2658762492370166
BTC,2026-04-02,1774548900,yes,-0.266832673899674,-2.0577269789722914,0,-0.2,-0.09386485287340136
BTC,2026-04-09,1775747700,no,0.08118495242655015,2.2398700517513186,1,-0.91,-0.8545891471805313
BTC,2026-02-08,1770212700,yes,-0.06695777859177965,-2.6624194723749293,0,-0.78,-0.45648459410701
BTC,2026-02-09,1770213600,yes,-0.056478915786121076,-3.562388229302968,0,-0.71,-0.40399340295407327
BTC,2026-03-10,1773154800,no,0.08798942534636882,4.738248424327063,0,0.19999999999999996,0.16664404738280975
BTC,2026-03-13,1773360900,no,0.06113733716182068,2.508877691667636,0,0.36,0.5320876200756258
BTC,2026-03-16,1773631800,no,0.08411432793803697,2.3500118001384713,1,-0.20999999999999996,-0.12031941807228147
BTC,2026-03-17,1773631800,no,0.05728377208157753,2.3500118001384713,1,-0.32000000000000006,-0.15871234957618707
BTC,2026-03-18,1773833400,yes,-0.05530364082373429,-2.3101472179506,0,-0.89,-0.6875153659430959
BTC,2026-03-23,1774265400,no,0.17790649283126736,7.954145515200941,0,0.27,0.18293328629155375
BTC,2026-03-04,1772634600,no,0.13570573326450264,1.9823324499847539,1,-0.47,0.25443886067508914
BTC,2026-03-05,1772634600,no,0.07238585655597901,1.9823324499847539,0,0.52,0.4470212229153301
BTC,2026-04-10,1775831400,no,0.05358855571789709,2.824860858792075,0,0.07299999999999995,0.05966730567710306
BTC,2026-04-12,1775750400,no,0.05305239322765243,4.077218979699833,0,0.20299999999999996,0.041897062276330194
BTC,2026-04-14,1775750400,no,0.052117741770484255,4.077218979699833,1,-0.69,-0.36227722224111886
BTC,2026-04-15,1776261600,yes,-0.06435138562565818,-1.5340334415401062,0,-0.46,-0.23397512921961836
BTC,2026-04-16,1776267000,yes,-0.06420820572780667,-1.7840963322117769,1,0.55,0.37606512949539495
BTC,2026-04-17,1776267000,yes,-0.05349386040693893,-1.7840963322117769,1,0.55,-0.05677589798122662
BTC,2026-04-02,1774548900,yes,-0.3753616222717059,-2.0577269789722914,0,-0.09999999999999999,-0.02874139619008978
BTC,2026-04-20,1776636000,yes,-0.09873295136433158,-2.8399547054168135,1,0.47,0.18921020209781314
BTC,2026-04-21,1776636000,yes,-0.07282331604048942,-2.8399547054168135,1,0.49,0.2472277776819687
BTC,2026-04-30,1777489200,no,0.05355384489565651,2.3339014753799256,1,-0.16700000000000004,-0.021483672269633908
BTC,2026-04-08,1775654100,no,0.05945696965700887,2.89624292959063,0,0.08899999999999997,0.020465144918000375
BTC,2026-03-13,1773409500,no,0.06280930044597362,2.1661765249655165,0,0.24,-0.20888613451869786
BTC,2026-03-16,1773631800,no,0.0639791235293268,2.3500118001384713,0,0.28,0.3613809567076146
BTC,2026-03-18,1773833400,yes,-0.10060213004464269,-2.3101472179506,0,-0.23,0.6585954873308902
BTC,2026-04-14,1776174300,no,0.07906849349375111,2.8617218301877503,0,0.18100000000000005,0.22152609790269875
BTC,2026-04-19,1776434400,no,0.05068343653939278,3.9099743580576924,0,0.76,0.5115866256540487
BTC,2026-04-02,1774548900,yes,-0.43843120035713956,-2.0577269789722914,0,-0.04,0.0025467772465842253
BTC,2026-04-21,1776636000,yes,-0.05262835372146746,-2.8399547054168135,0,-0.21000000000000002,-0.408256530557793
BTC,2026-04-29,1777428000,no,0.06370289160117248,1.8624121745073048,0,0.73,0.5175084974342571
BTC,2026-04-30,1777516200,yes,-0.1381994532317849,-2.0743608101346647,1,0.5700000000000001,0.45333640611851583
BTC,2026-03-17,1773707400,no,0.08068780203637216,1.7314794116189778,0,0.31000000000000005,0.07172500328131154
BTC,2026-05-01,1777516200,yes,-0.08850089196476751,-2.0743608101346647,1,0.54,0.03691765264257474
BTC,2026-05-02,1777516200,yes,-0.064686616398963,-2.0743608101346647,1,0.52,0.10377565803931249
BTC,2026-05-03,1777516200,yes,-0.05838859484391046,-2.0743608101346647,1,0.53,0.1223907768019667
BTC,2026-04-17,1776431700,no,0.07475286965212372,3.7900765877602653,0,0.124,0.23985984922317344
BTC,2026-04-19,1776434400,no,0.050905502707017325,3.9099743580576924,0,0.38,0.09433179887967902
BTC,2026-04-27,1777266900,yes,-0.06507900003215639,-3.8504320729775983,0,-0.58,0.016214600056265405
BTC,2026-02-02,1770044400,yes,-0.15612296445261936,-2.5153035592355684,1,0.641,0.2643141475601817
BTC,2026-05-01,1777606200,no,0.051534326723236434,2.9946839271518164,1,-0.76,-0.37700869972013706
