asset,event,slug,ts,entry,ev_raw,ev_hedged,label
BTC,2026-06-03,bitcoin-above-78k-on-june-3-2026,1779901200,0.18000000000000002,-0.18000000000000002,0.660319113781143,0
BTC,2026-06-03,bitcoin-above-74k-on-june-3-2026,1779903000,0.63,-0.63,0.40093191752973045,0
SOL,2026-06-03,solana-above-90-on-june-3-2026,1779904800,0.08,-0.08,0.3074187388196982,0
SOL,2026-06-01,solana-above-90-on-june-1-2026,1779906600,0.060000000000000005,-0.060000000000000005,0.0709746130687795,0
SOL,2026-06-02,solana-above-90-on-june-2-2026,1779906600,0.08,-0.08,0.1910180291830656,0
ETH,2026-05-29,ethereum-above-2100-on-may-29-2026,1779915600,0.25,-0.25,-0.08156950855527861,0
ETH,2026-05-30,ethereum-above-2100-on-may-30-2026,1779915600,0.29000000000000004,-0.29000000000000004,-0.11646852015737705,0
ETH,2026-06-01,ethereum-above-2100-on-june-1-2026,1779915600,0.33,-0.33,0.025062241608382163,0
ETH,2026-06-02,ethereum-above-2100-on-june-2-2026,1779915600,0.35000000000000003,-0.35000000000000003,0.1857897575614484,0
ETH,2026-05-31,ethereum-above-2100-on-may-31-2026,1779916500,0.3,-0.3,-0.09500456054605111,0
ETH,2026-06-03,ethereum-above-2000-on-june-3-2026,1779917400,0.6900000000000001,-0.6900000000000001,-0.020513073316286712,0
ETH,2026-05-28,ethereum-above-2000-on-may-28-2026,1779918300,0.77,-0.77,-0.47095117090211347,0
SOL,2026-05-29,solana-above-80-on-may-29-2026,1779924600,0.79,0.20999999999999996,0.18095565894070031,1
ETH,2026-05-31,ethereum-above-2000-on-may-31-2026,1779934500,0.6,0.4,0.4456341771935194,1
SOL,2026-06-03,solana-above-80-on-june-3-2026,1779935400,0.65,-0.65,-0.004854839457678728,0
SOL,2026-06-02,solana-above-80-on-june-2-2026,1779935400,0.67,-0.67,-0.21988324827468592,0
SOL,2026-06-01,solana-above-80-on-june-1-2026,1779935400,0.6900000000000001,-0.6900000000000001,-0.491794407245717,0
SOL,2026-05-31,solana-above-80-on-may-31-2026,1779938100,0.71,0.29000000000000004,0.29945184500567673,1
BTC,2026-06-03,bitcoin-above-72k-on-june-3-2026,1779940800,0.64,-0.64,0.18609907762328493,0
BTC,2026-06-02,bitcoin-above-72k-on-june-2-2026,1779940800,0.66,-0.66,0.07725164257941086,0
BTC,2026-06-01,bitcoin-above-74k-on-june-1-2026,1779944400,0.37,-0.37,-0.08385602796122088,0
