slug,K,T_pm,ts,bid,bid_sz,ask,ask_sz,result_id,fv,sigma,x,S_idx,S_bin,extrap,tte_d,label,asset,mid,spread,dt,date,S_T,n_bid,n_ask,n_bid_sz,n_ask_sz,n_mid,n_ts,exp_dt,is_test,event,gap_yes,gap_no,delta,ret_T,ev_raw,ev_hedged,entry
bitcoin-above-74k-on-may-29-2026,74000.0,1780070460,1779974100,0.3,6686.99,0.31,655.0,1,0.3650891570605543,0.3737457664340671,0.007665644145084969,73169.04,73338.35,0,1.1152777777777778,0,BTC,0.305,0.010000000000000009,2026-05-28 13:15:00+00:00,2026-05-28,73804.01,0.27,0.28,1809.5,1035.0,0.275,1779975000.0,2026-05-29 16:01:00+00:00,True,2026-05-29,0.055089157060554284,-0.06508915706055429,17.489431548551796,0.006329401738272074,-0.29411200000000004,-0.40480963844479423,0.28
bitcoin-above-74k-on-may-30-2026,74000.0,1780156860,1779975000,0.33,5.0,0.34,545.0,1,0.3989563606463516,0.3634998594380095,0.00892588479060175,73003.97,73160.52,0,2.104861111111111,0,BTC,0.335,0.010000000000000009,2026-05-28 13:30:00+00:00,2026-05-28,73905.42,0.29,0.3,67.31,451.05,0.295,1779975900.0,2026-05-30 16:01:00+00:00,True,2026-05-30,0.05895636064635157,-0.06895636064635158,13.192468533574996,0.010130236412734106,-0.3147,-0.4483428251126703,0.3
bitcoin-above-74k-on-may-31-2026,74000.0,1780243260,1780138800,0.28,1160.0,0.29,446.34,1,0.34464888693536566,0.1950503295349229,0.004797754130177165,73542.555,73655.85,0,1.2090277777777778,0,BTC,0.28500000000000003,0.009999999999999953,2026-05-30 11:00:00+00:00,2026-05-30,73644.92,0.28,0.29,118.61,886.38,0.28500000000000003,1780139700.0,2026-05-31 16:01:00+00:00,True,2026-05-31,0.05464888693536568,-0.06464888693536563,32.525902865613766,-0.0001484038409312644,-0.304413,-0.29958603108498566,0.29
bitcoin-above-74k-on-june-1-2026,74000.0,1780329660,1780146900,0.41,160.0,0.43,213.51,1,0.48094148600868747,0.23055976855340232,0.002142479112340682,73631.72,73746.4,0,2.1152777777777776,0,BTC,0.42,0.020000000000000018,2026-05-30 13:15:00+00:00,2026-05-30,71161.39,0.43,0.45,80.73,15.0,0.44,1780147800.0,2026-06-01 16:01:00+00:00,True,2026-06-01,0.050941486008687475,-0.0709414860086875,22.25974627718839,-0.03568178441657139,-0.467325,0.32694246783021375,0.45
bitcoin-above-74k-on-june-2-2026,74000.0,1780416060,1780157700,0.48,5230.02,0.5,5.0,1,0.5526716336265838,0.2659392271300753,-0.0013838615282447933,73865.145,73968.03,0,2.990277777777778,0,BTC,0.49,0.020000000000000018,2026-05-30 16:15:00+00:00,2026-05-30,67298.23,0.48,0.49,82.5,5.0,0.485,1780158600.0,2026-06-02 16:01:00+00:00,True,2026-06-02,0.05267163362658378,-0.0726716336265838,16.56620610177751,-0.09449903667034036,-0.507493,1.0579975179002892,0.49
bitcoin-above-74k-on-june-3-2026,74000.0,1780502460,1780248600,0.41,5545.0,0.42,11.6,1,0.47308050182159234,0.3213425561234076,0.0037384188608181003,73497.60500000001,73598.32,0,2.9381944444444446,0,BTC,0.415,0.010000000000000009,2026-05-31 17:30:00+00:00,2026-05-31,66104.0,0.43,0.46,5010.0,100.0,0.445,1780249500.0,2026-06-03 16:01:00+00:00,True,2026-06-03,0.05308050182159235,-0.06308050182159236,13.554448856026168,-0.10739293998847185,-0.47738800000000003,0.9782641125720292,0.46
bitcoin-above-68k-on-june-3-2026,68000.0,1780502460,1780392600,0.779,787.24,0.785,61.0,1,0.8350356996797959,0.43876695570891694,-0.021317200400878145,69300.69,69399.1,0,1.2715277777777778,0,BTC,0.782,0.006000000000000005,2026-06-02 09:30:00+00:00,2026-06-02,66104.0,0.781,0.785,60.24,64.0,0.783,1780393500.0,2026-06-03 16:01:00+00:00,True,2026-06-03,0.05003569967979582,-0.056035699679795825,11.422116029437358,-0.04864463973007474,-0.7968142500000001,-0.24118953079290795,0.785
bitcoin-above-66k-on-june-3-2026,66000.0,1780502460,1780413300,0.808,60.24,0.809,400.65,0,0.864113607928399,0.5656488551585469,-0.027840177027395416,67700.32,67854.49,0,1.0319444444444446,1,BTC,0.8085,0.0010000000000000009,2026-06-02 15:15:00+00:00,2026-06-02,66104.0,0.752,0.763,200.0,793.11,0.7575000000000001,1780414200.0,2026-06-03 16:01:00+00:00,True,2026-06-03,0.05511360792839892,-0.05611360792839892,8.796699942227269,-0.026136300079383536,0.22434183,0.45425501939834767,0.763
bitcoin-above-66k-on-june-5-2026-618-715-569,66000.0,1780675260,1780461000,0.556,5000.0,0.558,100.0,1,0.6092203168669023,0.5379980266276391,-0.00864309867613372,66435.96,66579.32,0,2.479861111111111,0,BTC,0.557,0.0020000000000000018,2026-06-03 04:30:00+00:00,2026-06-03,60204.04,0.556,0.566,5000.0,100.0,0.5609999999999999,1780461900.0,2026-06-05 16:01:00+00:00,True,2026-06-05,0.051220316866902205,-0.053220316866902206,8.859711082862335,-0.10065455911988659,-0.58319508,0.3085752329750814,0.566
ethereum-above-1900-on-june-4-2026,1900.0,1780588860,1780492500,0.32,331.0,0.33,420.0,1,0.38275613693792954,0.5956006737069747,0.012068571292349298,1873.54,1874.38,0,1.1152777777777778,0,ETH,0.325,0.010000000000000009,2026-06-03 13:15:00+00:00,2026-06-03,1776.68,0.29,0.32,10.0,220.0,0.305,1780493400.0,2026-06-04 16:01:00+00:00,True,2026-06-04,0.05275613693792952,-0.06275613693792953,11.053001138654425,-0.053531483901515596,-0.33523200000000003,0.25645155251731283,0.32
