slug,ts,sz,n,last,sz_buy,vwap,vwap_buy,K,T_pm,label,S_T,S_bin,S_idx,fv,sigma,x,extrap,tte_d,asset,exp_dt,event,quarter,year,gap,n_vwap,n_vwap_buy,n_Sbin,n_ts_,delta,ret_T,ev_raw,ev_hedged,cfg
ethereum-above-4400-on-september-19,1758175200,56.666665,2,0.85,56.666665,0.8535294118685121,0.8535294118685121,4400.0,1758297660,1,4473.75,4589.51,4590.505,0.885594110957372,0.5999395220341411,-0.04216872363700839,0,1.417361111111111,ETH,2025-09-19 16:01:00+00:00,2025-09-19,2025Q3,2025,0.032064699088859894,0.8473498232616214,0.8473498232616214,4562.91,1758176100.0,5.767935723498498,-0.0255462814631253,0.14359580971877012,0.290945119172478,S2-analog
ethereum-above-4400-on-september-20,1758297600,10.0,1,0.76,10.0,0.76,0.76,4400.0,1758384060,1,4499.33,4474.93,4476.235000000001,0.7920498089492214,0.4368053317990239,-0.016886168222158025,0,1.0006944444444446,ETH,2025-09-20 16:01:00+00:00,2025-09-20,2025Q3,2025,0.03204980894922138,0.8216666666666667,0.8216666666666667,4465.52,1758302100.0,13.39333788894308,0.005437787655960457,0.16807619444444447,0.0952460669998423,S2-analog
ethereum-above-4400-on-september-21,1758394800,10.0,1,0.84,10.0,0.8400000000000001,0.8400000000000001,4400.0,1758470460,1,4484.61,4475.22,4476.5,0.8878953294013018,0.29478031103354774,-0.01695097160536434,0,0.8756944444444444,ETH,2025-09-21 16:01:00+00:00,2025-09-21,2025Q3,2025,0.0478953294013017,0.96,0.96,4484.69,1758402000.0,13.988301044097694,0.002096022678502772,0.03731200000000003,0.007992203777847259,S2-analog
ethereum-above-4400-on-september-22,1758478500,18.75,1,0.84,18.75,0.84,0.84,4400.0,1758556860,0,4167.22,4487.42,4490.25,0.8672047569039276,0.4072706128717564,-0.019673385433223393,0,0.9069444444444446,ETH,2025-09-22 16:01:00+00:00,2025-09-22,2025Q3,2025,0.02720475690392765,0.86,,4497.0,1758481200.0,12.408329769883396,-0.07402877953443253,-0.868428,0.05014550892523384,S2-analog
ethereum-above-4400-on-september-3,1756515600,5.0,1,0.4,5.0,0.4,0.4,4400.0,1756915260,1,4482.54,4342.65,4342.11,0.42507098140056765,0.6127345159572268,0.013119780073329708,0,4.625694444444445,ETH,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.025070981400567627,0.38681318573505524,0.38681318573505524,4344.4,1756516500.0,5.639399629579426,0.03170508919819562,0.596583602109586,0.417785933829499,S2-analog
ethereum-above-4400-on-september-3,1756746000,1035.426929,6,0.33,1035.426929,0.3698672707883571,0.3698672707883571,4400.0,1756915260,1,4482.54,4355.22,4351.68,0.40053617114975976,0.58387506277883,0.010229415248140696,0,1.9590277777777776,ETH,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.03066890036140263,0.35854044025107235,0.34937070737474346,4326.68,1756746900.0,9.01523759691753,0.028814724373006643,0.6253603162420329,0.36558872972968753,S2-analog
ethereum-above-4400-on-september-3,1756836000,10.55,1,0.2,10.55,0.2,0.2,4400.0,1756915260,1,4482.54,4319.36,4319.36,0.2657296626609409,0.6159010642721344,0.018497297791365698,0,0.9173611111111111,ETH,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.06572966266094088,0.20058823527584774,0.20086956519077506,4296.23,1756836900.0,10.697383196000727,0.03708260691623174,0.7881870830640185,0.3915002269744208,S2-analog
ethereum-above-4400-on-september-5,1756900800,5.0,1,0.42,5.0,0.42000000000000004,0.42000000000000004,4400.0,1757088060,0,4278.13,4371.51,4375.17,0.44632118611933774,0.6364970985045958,0.006496053743702125,0,2.167361111111111,ETH,2025-09-05 16:01:00+00:00,2025-09-05,2025Q3,2025,0.026321186119337703,0.42000000000000004,,4364.35,1756901700.0,8.034227729513026,-0.021592488950215885,-0.43705200000000005,-0.263573026526972,S2-analog
ethereum-above-4400-on-september-5,1756990800,10.0,1,0.51,10.0,0.51,0.51,4400.0,1757088060,0,4278.13,4416.62,4415.66,0.5467679876323158,0.6317716178299275,-0.003770156746349095,0,1.1256944444444443,ETH,2025-09-05 16:01:00+00:00,2025-09-05,2025Q3,2025,0.03676798763231581,0.5,0.5,4397.87,1756991700.0,11.32480074367476,-0.03185869944026707,-0.5175,-0.15670657688635276,S2-analog
ethereum-above-4400-on-september-8,1757081700,3750.0,3,0.37,3750.0,0.42333333333333334,0.42333333333333334,4400.0,1757347260,0,4370.22,4401.63,4391.72,0.5003081709222303,0.5667780503783448,-0.00037038594411157726,0,3.073611111111111,ETH,2025-09-08 16:01:00+00:00,2025-09-08,2025Q3,2025,0.076974837588897,0.31683917287804964,0.316879885262694,4322.82,1757082600.0,7.669050214446894,-0.007161575778579,-0.33199082067660984,-0.2770683364161209,S2-analog
