asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,fut_pnl,perp_fill_pnl,fut_inst,basis_bp,fut_tte_h,ev_perp_sig,ev_perp,ev_fut,ev_fut_hs2.5,ev_fut_hs5.0
BTC,bitcoin-above-90k-on-january-7,90000.0,1767805260,1767795300,0.4512357690422747,0.1152777777777777,91701.85,91277.42,3.280078140990352,-0.0046391130666622,1,2026-01-07,False,0.964,1767796200,0.036,0.0512166533635416,1.0869021547278007e-05,3.565123999117972e-05,2.5166666666666666,0.0512523046035327,0.027136734850435953,0.015326154053951142,BTC-9JAN26,37.10377228178936,38.983333333333334,0.04895624990483933,0.04906575059524907,0.060840680151742696,0.05920064108124752,0.057560602010752346
ETH,ethereum-above-3200-on-january-13,3200.0,1768323660,1767798000,0.5679243981529701,6.084027777777777,3191.54,3182.88,5.426510198277479,-0.0027171116204594,0,2026-01-13,False,0.46,1767798900,-0.46,-0.4452555660817184,0.0005252004220506,0.0028500054463976,145.76666666666668,-0.4424055606353207,-0.021387818157927497,-0.030798015405350168,ETH-16JAN26,8.533772128880297,62.983333333333334,-0.4462041177741155,-0.49174656709774683,-0.48518637529672176,-0.4878996303958605,-0.49061288549499926
BTC,bitcoin-above-92k-on-january-10,92000.0,1768064460,1767798900,0.4287660667750218,3.073611111111111,91671.29,90685.75,10.077511271769318,-0.0108090106685373,0,2026-01-10,False,0.44,1767799800,-0.44,-0.3310720731511399,0.0003561410132035,0.0035890150748984,73.51666666666667,-0.3274830580762414,0.09218946077784977,0.05633688479989565,BTC-16JAN26,32.320825747761276,134.98333333333332,-0.3345373159664807,-0.38712835801544443,-0.3548647971123887,-0.3599035527482734,-0.36494230838415803
BTC,bitcoin-above-92k-on-january-11,92000.0,1768150860,1767798900,0.4081461353967333,4.073611111111111,91671.29,91055.17,9.201878205005574,-0.0067436575407276,0,2026-01-11,False,0.44,1767799800,-0.44,-0.3779456846539568,0.0005801055359246,0.0053380604876282,97.51666666666668,-0.3726076241663285,0.05249001361721768,0.018143935156340402,BTC-16JAN26,32.320825747761276,110.98333333333333,-0.37904893890983293,-0.4229593190995353,-0.39395130112628624,-0.39855224022878905,-0.4031531793312918
ETH,ethereum-above-3300-on-january-11,3300.0,1768150860,1767827700,0.5105502273806855,3.740277777777778,3155.27,3130.49,5.17805180588238,-0.0078845289582287,0,2026-01-11,False,0.16,1767841200,-0.16,-0.1191735005893117,0.000303870602624,0.001573457722672,86.01666666666667,-0.1176000428666396,0.03265095167619695,0.04831168593100748,ETH-16JAN26,-41.44803894709961,110.98333333333333,-0.12122467913075763,-0.11373949261043818,-0.13097368458792072,-0.1335627104908619,-0.1361517363938031
BTC,bitcoin-above-94k-on-january-11,94000.0,1768150860,1767834900,0.4364904164965286,3.656944444444444,91429.1,91055.17,7.360665818545476,-0.0040982219821933,0,2026-01-11,False,0.21,1767839400,-0.21,-0.179834357538858,0.0005250133250992,0.0038644476363389,86.51666666666667,-0.175969909902519,0.0018217215335024689,0.010635253592620547,BTC-16JAN26,-16.97807269941108,110.98333333333333,-0.18112237597550102,-0.2006527648440224,-0.21333074453947937,-0.21701107744875212,-0.22069141035802484
BTC,bitcoin-above-96k-on-january-12,96000.0,1768237260,1767834900,0.4320877375146294,4.656944444444444,91429.1,92149.84,4.839040006988025,0.0078521392831202,0,2026-01-12,False,0.12,1767840300,-0.12,-0.1579968161314612,0.0007912910924736,0.0038290892536531,110.26666666666668,-0.154167726877808,-0.02839010669596338,-0.06831014587564826,BTC-16JAN26,12.435896216739119,86.98333333333333,-0.1575550548826994,-0.18786838462688676,-0.15177743470085497,-0.154196954704349,-0.156616474707843
BTC,bitcoin-above-96k-on-january-11,96000.0,1768150860,1767834900,0.4435525060557088,3.656944444444444,91429.1,91055.17,4.793705903763881,-0.0040982219821933,0,2026-01-11,False,0.09,1767840300,-0.09,-0.0703543290890249,0.0005246758437089,0.0025151416895497,86.26666666666667,-0.0678391873994751,0.0011864140399041024,-0.007173878293140623,BTC-16JAN26,12.435896216739119,110.98333333333333,-0.07119478153211008,-0.09801433073622563,-0.0921691800927306,-0.09456603304461254,-0.09696288599649448
BTC,bitcoin-above-90k-on-january-11,90000.0,1768150860,1767863700,0.3859830705570455,3.3236111111111115,90327.61,91055.17,10.796556144267068,0.0080224142786863,1,2026-01-11,False,0.54,1767864600,0.4599999999999999,0.3733855538275929,0.0005167130330203,0.0055787212714786,79.51666666666667,0.3789642750990715,-0.11552976086899731,-0.12453477960757649,BTC-16JAN26,3.336391723333534,110.98333333333333,0.37140668579808517,0.33348635236291513,0.3369126498300157,0.3315143717578821,0.3261160936857486
BTC,bitcoin-above-90k-on-january-10,90000.0,1768064460,1767863700,0.4191090678483437,2.323611111111111,90327.61,90685.75,11.879885124471947,0.0039570611508765,1,2026-01-10,False,0.54,1767864600,0.4599999999999999,0.4129905680970755,0.0002927485102992,0.0034778186727154,55.516666666666666,0.416468386769791,-0.08621049085660726,-0.09404216438582012,BTC-16JAN26,3.336391723333534,134.98333333333332,0.4081524671826614,0.3611197346997648,0.3654735895562623,0.35953364699402635,0.35359370443179033
