asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
BTC,bitcoin-above-58k-on-june-9-2026,58000.0,1781020860,1780539300,0.7116644130341755,5.573611111111111,62402.13,61201.47,3.3259171199694384,-0.0194282005705363,1,2026-06-09,True,0.862,1780540200.0,0.12967308,0.1942896648877469,-0.0002425805379174,-0.0008068027640308,133.51666666666668,0.193482862123716,62957.0,61144.0,0.2237221510047726,0.19115472013973728
BTC,bitcoin-above-60k-on-june-9-2026,60000.0,1781020860,1780539300,0.6340301622088406,5.573611111111111,62402.13,61201.47,4.576768580292655,-0.0194282005705363,1,2026-06-09,True,0.742,1780540200.0,0.24459948,0.3335178579428547,-0.0002425805379174,-0.0011102349841308,133.51666666666668,0.3324076229587238,62957.0,61144.0,0.3740196722819746,0.3292038849525187
BTC,bitcoin-above-62k-on-june-8-2026-644,62000.0,1780934460,1780541100,0.6393074098048224,4.552777777777778,63410.0,63700.01,5.373731930792475,0.0045631418520364,1,2026-06-08,True,0.644,1780542000.0,0.33995152,0.3154304189249761,-0.0002348910942666,-0.0012622417735192,109.01666666666668,0.3141681771514568,63197.5,63699.0,0.29245304137753997,0.31040656479990253
ETH,ethereum-above-1900-on-june-10-2026,1900.0,1781107260,1780570800,0.632891198698375,6.209027777777778,1736.86,1656.82,2.555661208279329,-0.0471787827878278,0,2026-06-10,True,0.15,1780571700.0,-0.1589249999999999,-0.0383520149753118,-0.0004031017000237,-0.0010301913777421,148.76666666666668,-0.0393822063530539,1735.25,1653.2,-0.037951269167317676,-0.04117116919884952
BTC,bitcoin-above-64k-on-june-11-2026,64000.0,1781193660,1780597800,0.4798289866437683,6.896527777777778,63896.27,62795.24,6.038582998821575,-0.0173817127996533,0,2026-06-11,True,0.44,1780598700.0,-0.457248,-0.3522870845976139,-0.0001464872218747,-0.0008845752475575,165.26666666666668,-0.3531716598451714,63805.0,62710.5,-0.3578760381407652,-0.35739866794434677
BTC,bitcoin-above-64k-on-june-8-2026-139,64000.0,1780934460,1780601400,0.4648678408474903,3.854861111111111,64128.0,63700.01,8.349352063922993,-0.0066963664583683,0,2026-06-08,True,0.503,1780602300.0,-0.52049937,-0.4645890488900379,-0.0001749971863622,-0.0014611131191341,92.26666666666668,-0.466050162009172,63640.0,63699.0,-0.5355420434719821,-0.4718947084539181
BTC,bitcoin-above-62k-on-june-9-2026,62000.0,1781020860,1780626600,0.4698534515725771,4.563194444444444,62705.48,61201.47,7.459239338869662,-0.0242776353010116,0,2026-06-09,True,0.609,1780627500.0,-0.62566833,-0.4445756377079635,-0.0001653439874956,-0.0012333403759727,109.26666666666668,-0.4458089780839362,62772.0,61144.0,-0.4361138993721422,-0.45103044562114497
BTC,bitcoin-above-64k-on-june-9-2026-453-432,64000.0,1781020860,1780633800,0.4593643880819966,4.479861111111111,63240.32,61201.47,7.578414005850244,-0.0327708635793632,0,2026-06-09,True,0.41,1780634700.0,-0.426933,-0.1785818284663459,-0.0001591489562631,-0.001206096679161,107.26666666666668,-0.1797879251455069,62979.5,61144.0,-0.20929315314886532,-0.18509281494960242
BTC,bitcoin-above-64k-on-june-10-2026,64000.0,1781107260,1780633800,0.4636236242920571,5.479861111111111,63240.32,62574.0,6.825640011435551,-0.0105922160498898,0,2026-06-10,True,0.42,1780634700.0,-0.437052,-0.3647533463201021,-0.0001468661143639,-0.0010024552265265,131.26666666666668,-0.3657558015466286,62979.5,62491.5,-0.3897375985177792,-0.37053374955463375
ETH,ethereum-above-1600-on-june-8-2026,1600.0,1780934460,1780641900,0.73945906710265,3.386111111111111,1664.95,1688.75,4.885146751368914,0.0141935173408047,1,2026-06-08,True,0.743,1780642800.0,0.24363343,0.1742960148720692,-0.0003013566207953,-0.0014721713170818,81.01666666666667,0.1728238435549874,1653.35,1688.7,0.13539408289015648,0.16940424082902955
XRP,xrp-above-1pt1-on-june-10-2026,1.1,1781107260,1780644600,0.6518223889872018,5.354861111111111,1.1229,1.1274,4.930592786985844,0.0039994720689815,1,2026-06-10,True,0.57,1780645500.0,0.412843,0.3931232318649284,0.0014183154762892,0.0069931360570622,128.26666666666668,0.4001163679219907,1.1376,1.1266,0.4642929866008663,0.3966649529711006
SOL,solana-above-60-on-june-10-2026,60.0,1781107260,1780650900,0.8519379131759711,5.281944444444444,66.32,65.35,2.535559820373138,-0.0147340707568085,1,2026-06-10,True,0.806,1780651800.0,0.1830545199999999,0.2204136378014984,-0.0001822524954363,-0.000462112104591,126.51666666666668,0.2199515256969073,66.243,65.227,0.22000790262130324,0.21817663382264618
BTC,bitcoin-above-60k-on-june-9-2026,60000.0,1781020860,1780650900,0.5929864477168791,4.281944444444445,63099.64,61201.47,4.681093504936586,-0.0305438554634411,1,2026-06-09,True,0.787,1780651800.0,0.2012658299999999,0.3442444734256362,-8.455781487451235e-05,-0.0003958230380007,102.51666666666668,0.3438486503876354,62979.0,61144.0,0.3360113019042768,0.3405718849341796
BTC,bitcoin-above-62k-on-june-8-2026-644,62000.0,1780934460,1780655400,0.50988048816338,3.229861111111111,62586.01,63700.01,8.195220788181889,0.0176429488619578,1,2026-06-08,True,0.593,1780656300.0,0.39010543,0.2455175687216528,-8.718687598370523e-05,-0.0007145156985182,77.26666666666667,0.2448030530231345,62554.0,63699.0,0.23500377104414905,0.23906639847140793
BTC,bitcoin-above-62k-on-june-10-2026,62000.0,1781107260,1780655400,0.5114973468642655,5.229861111111111,62586.01,62574.0,6.466673996034046,-0.000191914334888,1,2026-06-10,True,0.6,1780656300.0,0.3832,0.3844410474388865,-6.528323691159035e-05,-0.0004221654105131,125.26666666666668,0.3840188820283734,62554.0,62491.5,0.38471548431376096,0.3794922102311495
BTC,bitcoin-above-60k-on-june-10-2026,60000.0,1781107260,1780666200,0.5717179027125215,5.104861111111111,62116.0,62574.0,5.261390697041248,0.0073462516601881,1,2026-06-10,True,0.7,1780667100.0,0.2853,0.246648499856962,-5.402726517058504e-05,-0.000284258550355,122.26666666666668,0.2463642413066069,61698.5,62491.5,0.21413992586982455,0.24268126781867863
