asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
BTC,bitcoin-above-62k-on-june-15-2026,62000.0,1781539260,1781035200,0.4793411657780872,5.834027777777778,62098.09,67178.0,6.582997143149213,0.0786305813532486,1,2026-06-15,True,0.52,1781040600,0.48,-0.0376248924125975,4.697968471250452e-05,0.0003092671302484,138.51666666666668,-0.037315625282349,61825.0,67122.5,-0.06549686614149461,-0.04192372328255342
BTC,bitcoin-above-62k-on-june-16-2026,62000.0,1781625660,1781035200,0.4749917847773232,6.834027777777778,62098.09,65912.0,6.137867641444752,0.0596052873906575,1,2026-06-16,True,0.51,1781037000,0.49,0.124150635265868,5.419932767056733e-05,0.0003326682994972,163.51666666666668,0.1244833035653652,62004.5,65882.5,0.11367696197290957,0.12018679621635427
BTC,bitcoin-above-62k-on-june-14-2026,62000.0,1781452860,1781035200,0.4854336961970804,4.834027777777778,62098.09,64058.03,7.141212866659538,0.0310741596659088,1,2026-06-14,True,0.51,1781040600,0.49,0.2680928111731788,4.504861555856658e-05,0.000321701753052,114.51666666666668,0.2684145129262308,61825.0,64023.5,0.23579180729121987,0.2634156639195695
XRP,xrp-above-1pt2-on-june-15-2026,1.2,1781539260,1781037900,0.6865697665724969,5.802777777777778,1.1432,1.2649,3.8413660311075297,0.1011617200378384,1,2026-06-15,True,0.24,1781040600,0.76,0.3714008049982374,0.0011499294416693,0.0044172998953989,138.51666666666668,0.3758181048936363,1.1368,1.2633,0.3564256329832844,0.3731291486718613
XRP,xrp-above-1pt2-on-june-11-2026,1.2,1781193660,1781037900,0.7584269056160127,1.8027777777777776,1.1432,1.113,4.828056914657408,-0.0267722753401128,0,2026-06-11,True,0.11,1781052300,-0.11,0.0192580690769437,0.0004555948675831,0.0021996379507171,39.266666666666666,0.0214577070276608,1.1279,1.113,-0.0469744521543408,0.018078067187400536
XRP,xrp-above-1pt2-on-june-12-2026,1.2,1781280060,1781039700,0.707549603741233,2.781944444444445,1.1433,1.1304,4.635308637670556,-0.0113472651776065,0,2026-06-12,True,0.16,1781048700,-0.16,-0.1074019237083022,0.0006559461134017,0.0030405126852974,64.26666666666667,-0.1043614110230047,1.1376,1.128,-0.12092169166878237,-0.10760612706937428
XRP,xrp-above-1pt2-on-june-14-2026,1.2,1781452860,1781042400,0.6785681195524628,4.750694444444445,1.1371,1.1359,3.9358300449808015,-0.0010558733933013,0,2026-06-14,True,0.2,1781253000,-0.2,-0.1958442617749488,0.0004402043980722,0.0017325696958654,55.516666666666666,-0.1941116920790833,1.142,1.134,-0.17335399636979398,-0.19686677311057008
BTC,bitcoin-above-62k-on-june-10-2026,62000.0,1781107260,1781051400,0.4792394752307078,0.6465277777777778,61852.8,62574.0,19.61806443745605,0.0115924877368349,1,2026-06-10,True,0.45,1781052300,0.55,0.3225778285883531,3.6212437034242873e-06,7.104179231750964e-05,15.266666666666667,0.3226488703806706,61516.5,62491.5,0.22784205806153354,0.30891622527445217
ETH,ethereum-above-1700-on-june-14-2026,1700.0,1781452860,1781062200,0.6200640052020303,4.521527777777778,1636.32,1664.03,4.863779320562446,0.0167925530070873,0,2026-06-14,True,0.27,1781066700,-0.27,-0.35167527205532,-2.713129544863746e-05,-0.0001319606337431,107.26666666666668,-0.3518072326890631,1622.4,1662.75,-0.3930217836815547,-0.3552118782134568
ETH,ethereum-above-1700-on-june-15-2026,1700.0,1781539260,1781062200,0.6166848702801357,5.521527777777778,1636.32,1840.85,4.543011563767768,0.1177776033980035,1,2026-06-15,True,0.29,1781068500,0.71,0.1749349858100158,-4.2491703571628445e-05,-0.0001930403006901,130.76666666666668,0.1747419455093257,1619.55,1841.05,0.12426852026043479,0.17156183741468856
ETH,ethereum-above-1700-on-june-13-2026,1700.0,1781366460,1781062200,0.625373998570595,3.5215277777777776,1636.32,1680.51,5.250167945777011,0.0266475006996903,0,2026-06-13,True,0.25,1781069400,-0.25,-0.3899038540085846,-2.298802867572742e-05,-0.0001206910112899,82.51666666666667,-0.3900245450198745,1623.6,1680.25,-0.4338591694548903,-0.39369966258191835
ETH,ethereum-above-1700-on-june-16-2026,1700.0,1781625660,1781074800,0.6242621763956157,6.375694444444444,1632.08,1783.54,4.189588495992765,0.0887448784274578,1,2026-06-16,True,0.3,1781081100,0.7,0.328195478262046,-3.637523079294113e-05,-0.0001523972484691,151.26666666666668,0.3280430810135768,1619.4,1783.1,0.29346710321216485,0.32511036906638224
