asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
BTC,bitcoin-above-60k-on-july-7-2026,60000.0,1783440060,1782938700,0.38765244683951455,5.802777777777778,60043.44,63917.45,8.161610273239763,0.0625241067846932,1,2026-07-07,True,0.51,1782951300,0.49,-0.020297392259091995
ETH,ethereum-above-1600-on-july-6-2026,1600.0,1783353660,1782938700,0.5203739424799049,4.802777777777778,1616.12,1782.96,6.61993600383636,0.09824668976182349,1,2026-07-06,True,0.5700000000000001,1782950400,0.42999999999999994,-0.2203867988120365
BTC,bitcoin-above-62k-on-july-7-2026,62000.0,1783440060,1782939600,0.3713695757755103,5.792361111111111,60126.0,63917.45,6.76983295731711,0.06115004674097967,1,2026-07-07,True,0.25,1782952200,0.75,0.3360243982314341
ETH,ethereum-above-1600-on-july-8-2026,1600.0,1783526460,1782947700,0.5242890726028104,6.698611111111111,1615.64,1724.81,5.5880289232710805,0.06538573648514245,1,2026-07-08,True,0.56,1782949500,0.43999999999999995,0.07462261335164277
ETH,ethereum-above-1600-on-july-7-2026,1600.0,1783440060,1782947700,0.5182803308012419,5.698611111111111,1615.64,1795.96,6.1177591211321145,0.10580853491282116,1,2026-07-07,True,0.58,1782949500,0.42000000000000004,-0.22731112955653743
BTC,bitcoin-above-60k-on-july-4-2026,60000.0,1783180860,1782950400,0.3820259200578916,2.667361111111111,60024.0,62896.0,12.215721977287407,0.04673808643607698,1,2026-07-04,True,0.51,1782951300,0.49,-0.08093946965354404
BTC,bitcoin-above-58k-on-july-5-2026,58000.0,1783267260,1782950400,0.4207681389684741,3.667361111111111,60024.0,62736.0,6.911345913425406,0.04419096330654815,1,2026-07-05,True,0.8200000000000001,1782952200,0.17999999999999994,-0.12541903365904367
BTC,bitcoin-above-58k-on-july-7-2026,58000.0,1783440060,1782950400,0.4246935280563023,5.667361111111111,60024.0,63917.45,6.213785451361281,0.06284792480179877,1,2026-07-07,True,0.76,1782952200,0.24,-0.15052352078166503
BTC,bitcoin-above-60k-on-july-6-2026,60000.0,1783353660,1782951300,0.38871405423274924,4.656944444444444,59942.99,63427.99,9.077428947027386,0.0565113028072898,1,2026-07-06,True,0.49,1782952200,0.51,-0.0029773359371223496
BTC,bitcoin-above-64k-on-july-8-2026,64000.0,1783526460,1782963900,0.36127707503701006,6.511111111111111,60812.45,61752.01,4.599887789748754,0.015331987839112046,0,2026-07-08,True,0.12,1782976500,-0.12,-0.1905254236537079
