asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,pnl_static,pnl_daily,pnl_daily_cap2,pnl_move2
ETH,ethereum-above-2000-on-april-7,2000.0,1775577660,1775368800,0.5789075749190798,2.417361111111111,2048.6,2080.7,7.524422143463593,0.0155477425381017,1,2026-04-07,False,0.7,1775369700,0.3,0.1830122217654364,0.17771163619497035,0.06642218865764044,0.06642218865764044,0.10162403824014521
BTC,bitcoin-above-68k-on-april-8,68000.0,1775664060,1775373300,0.4071880003066661,3.3652777777777776,66905.1,71329.98,9.283554553290864,0.0640415184905355,1,2026-04-08,False,0.33,1775375100,0.6699999999999999,0.0754670694175277,0.07093463180263145,-0.10149840816113762,-0.10149840816113762,0.0013066617345558699
BTC,bitcoin-above-68k-on-april-5,68000.0,1775404860,1775385900,0.3557515426848771,0.2194444444444444,67085.99,67339.82,13.636023703484948,0.0037765113958056,0,2026-04-05,False,0.0289999999999999,1775386800,-0.0289999999999999,-0.0804965989096862,-0.08999313008712506,-0.08999313008712506,-0.08999313008712506,-0.08999313008712506
BTC,bitcoin-above-68k-on-april-6,68000.0,1775491260,1775422800,0.4273837619430409,0.7923611111111111,67658.35,69938.59,19.35387221073572,0.0331467948786251,1,2026-04-06,False,0.38,1775423700,0.62,-0.0215188322763806,-0.03350901884074635,-0.03350901884074635,-0.03350901884074635,0.02503391880149248
ETH,ethereum-above-2100-on-april-6,2100.0,1775491260,1775426400,0.5729030544112345,0.7506944444444446,2060.01,2163.78,11.564343932373976,0.0491458550715511,1,2026-04-06,False,0.22,1775428200,0.78,0.2116604291019767,0.20430314096016688,0.20430314096016688,0.20430314096016688,0.1500953003698076
BTC,bitcoin-above-70k-on-april-8,70000.0,1775664060,1775436300,0.4603475857350787,2.636111111111111,69312.72,71329.98,9.827677106602057,0.0286882767667665,1,2026-04-08,False,0.39,1775437200,0.61,0.3280608791913847,0.323068280554574,0.3043144678521627,0.3043144678521627,0.19888701604689446
BTC,bitcoin-above-68k-on-april-7,68000.0,1775577660,1775439000,0.4833288260191106,1.604861111111111,68985.2,68187.74,11.334975931671178,-0.0116272055429889,1,2026-04-07,False,0.68,1775439900,0.3199999999999999,0.4517940949823734,0.44457109282077856,0.48438867380798256,0.48438867380798256,0.44457109282077856
BTC,bitcoin-above-70k-on-april-7,70000.0,1775577660,1775439000,0.4489540562915137,1.604861111111111,68985.2,68187.74,11.794089933583017,-0.0116272055429889,0,2026-04-07,False,0.3,1775439900,-0.3,-0.1628676921497333,-0.17038325615250177,-0.16170593073401907,-0.16170593073401907,-0.17038325615250177
SOL,solana-above-80-on-april-6,80.0,1775491260,1775441700,0.5965251826880418,0.5736111111111111,82.47,82.19,7.49287584003992,-0.0034009506848553,1,2026-04-06,False,0.9,1775445300,0.0999999999999999,0.1254829012197202,0.12024690948549785,0.12024690948549785,0.12024690948549785,0.12024690948549785
XRP,xrp-above-1pt3-on-april-6,1.3,1775491260,1775454300,0.4943863426011753,0.4277777777777778,1.3383,1.35,5.490023888388531,0.0087044406301463,1,2026-04-06,False,0.93,1775455200,0.0699999999999999,0.0222124130054369,0.018360710743359168,0.018360710743359168,0.018360710743359168,0.018360710743359168
XRP,xrp-above-0pt9-on-april-8,0.9,1775664060,1775464200,0.5487731526113525,2.313194444444445,1.3438,1.3549,5.81912212961077e-18,0.0082262293663357,1,2026-04-08,False,0.97,1775465100,0.03,0.03,0.03,0.03,0.03,0.03
XRP,xrp-above-1pt3-on-april-7,1.3,1775577660,1775467800,0.5785367644985442,1.2715277777777778,1.3526,1.2982,6.068993133960175,-0.0410499765414713,0,2026-04-07,False,0.86,1775468700,-0.86,-0.6108679742205838,-0.6153908584657667,-0.6153908584657667,-0.6153908584657667,-0.5058412674047839
BTC,bitcoin-above-68k-on-april-8,68000.0,1775664060,1775475900,0.4694491215277874,2.1777777777777776,69650.9,71329.98,8.944846552848501,0.0238210940090285,1,2026-04-08,False,0.76,1775476800,0.24,0.0269239693682605,0.02190255947512635,-0.2079123582261904,-0.2079123582261904,-0.11389974524043572
BTC,bitcoin-above-68k-on-april-9,68000.0,1775750460,1775480400,0.4801856407681101,3.125694444444445,69366.75,72342.21,8.200461991612364,0.0420001301607471,1,2026-04-09,False,0.68,1775484900,0.3199999999999999,-0.0244204710259794,-0.02906982648965084,-0.0797808379846645,-0.0797808379846645,-0.07220978642429295
BTC,bitcoin-above-70k-on-april-9,70000.0,1775750460,1775482200,0.4611313190313951,3.104861111111111,69474.58,72342.21,9.197332736872683,0.0404468459667676,1,2026-04-09,False,0.42,1775483100,0.5800000000000001,0.2079968994866009,0.2027612282640232,0.24351961568903088,0.24351961568903088,0.18333671446376923
ETH,ethereum-above-2200-on-april-9,2200.0,1775750460,1775488500,0.5997301931792235,3.031944444444444,2167.2,2223.14,6.972947175945981,0.0254845991679977,1,2026-04-09,False,0.37,1775494800,0.63,0.4522972362013949,0.4473160491708467,0.27275106751413003,0.5787889056453821,0.5444643290045162
SOL,solana-above-90-on-april-9,90.0,1775750460,1775488500,0.7525501570021543,3.031944444444444,82.17,83.98,2.3026925830881155,0.0217884033129508,0,2026-04-09,False,0.025,1775578500,-0.025,-0.0751719947060644,-0.0766467105557193,0.06419479274778755,0.06419479274778755,0.19598782857563407
ETH,ethereum-above-2200-on-april-8,2200.0,1775664060,1775488500,0.5878524188147891,2.031944444444445,2167.2,2215.83,8.511316071598149,0.0221910393521141,1,2026-04-08,False,0.34,1775493000,0.6599999999999999,0.4711250501168834,0.4650934294462331,0.4862229896756889,0.7814558188378801,0.20653329373802756
BTC,bitcoin-above-70k-on-april-6,70000.0,1775491260,1775490300,0.4345510396386761,0.0111111111111111,69825.66,69938.59,96.7591367837864,0.0016160073062488,0,2026-04-06,False,0.123,1775491200,-0.123,-0.2793634719889344,-0.3470938820338645,-0.3470938820338645,-0.3470938820338645,-0.3470938820338645
ETH,ethereum-above-2100-on-april-7,2100.0,1775577660,1775505600,0.5969568495188917,0.8340277777777777,2144.25,2080.7,10.815589138471267,-0.0300854653299948,0,2026-04-07,False,0.77,1775514600,-0.77,-0.4446079679510539,-0.45282113235158855,-0.45282113235158855,-0.45282113235158855,-0.4313823716329479
ETH,ethereum-above-2100-on-april-9,2100.0,1775750460,1775516400,0.6347345869682496,2.7090277777777776,2105.41,2223.14,7.294125866745444,0.0544103884416682,1,2026-04-09,False,0.5,1775518200,0.5,0.1031237782479603,0.09789983808981802,0.10087247422082142,0.10087247422082142,0.1837084888180496
BTC,bitcoin-above-66k-on-april-9,66000.0,1775750460,1775520000,0.5743945944061642,2.667361111111111,68853.66,72342.21,5.721361981244854,0.0494243934338451,1,2026-04-09,False,0.8200000000000001,1775527200,0.1799999999999999,-0.1027748455384895,-0.10605880198406689,-0.0572730074640254,-0.0572730074640254,-0.05165292563739773
BTC,bitcoin-above-70k-on-april-8,70000.0,1775664060,1775534400,0.5099789860259449,1.5006944444444446,68779.21,71329.98,10.462147454663947,0.0364151968618796,1,2026-04-08,False,0.28,1775535300,0.72,0.3390188408403997,0.3330143578737367,0.32931396909409966,0.32931396909409966,0.025575409099010942
BTC,bitcoin-above-70k-on-april-7,70000.0,1775577660,1775534400,0.5080504408026796,0.5006944444444444,68779.21,68187.74,13.573400021861811,-0.0086367357473071,0,2026-04-07,False,0.15,1775535300,-0.15,-0.0327701308186868,-0.042265505159332646,-0.042265505159332646,-0.042265505159332646,-0.042265505159332646
ETH,ethereum-above-2100-on-april-8,2100.0,1775664060,1775545200,0.6335735317376994,1.3756944444444446,2104.25,2215.83,10.25105822666274,0.0516679420313139,1,2026-04-08,False,0.51,1775558700,0.49,-0.039651082214834,-0.046432188625743505,-0.1819265550144732,-0.1819265550144732,-0.05419735468807294
BTC,bitcoin-above-68k-on-april-10,68000.0,1775836860,1775550600,0.5162012820209031,3.313194444444444,68756.14,72476.0,7.950701903782074,0.0526894309240908,1,2026-04-10,False,0.6,1775558700,0.4,-0.0189179587573628,-0.023291516178825175,0.05693263970907387,0.05693263970907387,-0.06649068819668848
BTC,bitcoin-above-68k-on-april-7,68000.0,1775577660,1775557800,0.4969954431889405,0.2298611111111111,68736.99,68187.74,22.13536420476477,-0.0080226989817979,1,2026-04-07,False,0.79,1775558700,0.2099999999999999,0.3875853638672928,0.3721004029177686,0.3721004029177686,0.3721004029177686,0.3721004029177686
