asset,event,slug,ts,filled,delta,pnl,move_bp
ETH,2026-04-26,ethereum-above-2400-on-april-26,1776958200,True,7.0625934832694215,-0.28101550977786205,-59.51809773024082
BTC,2026-04-27,bitcoin-above-80k-on-april-27,1776959100,True,9.202989638597712,-0.08014854820696513,-49.08059907783579
BTC,2026-04-25,bitcoin-above-80k-on-april-25,1776959100,True,11.245142695317726,-0.06823866499837332,-14.182920197894948
BTC,2026-04-24,bitcoin-above-78k-on-april-24,1776959100,True,18.455075203284512,-0.5086198789900794,-14.182920197894948
BTC,2026-04-25,bitcoin-above-76k-on-april-25,1776966300,False,11.843239892548976,-0.14261275460524236,113.11461890381496
BTC,2026-04-30,bitcoin-above-78k-on-april-30,1776966300,False,7.029058390043617,-0.08464182000703022,113.11461890381496
BTC,2026-04-30,bitcoin-above-82k-on-april-30,1776970800,False,4.348208114210936,-0.03423280679696751,71.40507506228613
BTC,2026-04-30,bitcoin-above-80k-on-april-30,1776971700,False,6.236223694036874,-0.03655320576314191,51.2960611409967
BTC,2026-04-30,bitcoin-above-76k-on-april-30,1776974400,False,6.438935387256544,-0.04847649821895504,67.98383510355893
BTC,2026-04-30,bitcoin-above-84k-on-april-30,1776982500,False,2.854109572211791,-0.0140869326476548,42.14527397840681
ETH,2026-04-27,ethereum-above-2400-on-april-27,1776998700,True,6.369619591114223,-0.1064865918104099,-41.33845948936769
ETH,2026-04-28,ethereum-above-2400-on-april-28,1776999600,True,5.425449643388098,-0.17061594971454103,-48.69785255489862
SOL,2026-04-30,solana-above-80-on-april-30,1777010400,False,3.61067491911629,0.006747832223445687,-25.703951527872643
XRP,2026-04-26,xrp-above-1pt5-on-april-26,1777016700,True,4.811999513065477,-0.08355581064935554,-33.63231869766325
XRP,2026-04-29,xrp-above-1pt5-on-april-29,1777017600,False,4.732786586177787,-0.022396607357253726,39.70885429492499
XRP,2026-04-27,xrp-above-1pt4-on-april-27,1777017600,False,7.016790450790564,-0.033205025786172265,39.70885429492499
BTC,2026-04-26,bitcoin-above-78k-on-april-26,1777017600,True,14.200635562609426,0.4885688813163206,-17.608475177984342
XRP,2026-04-24,xrp-above-1pt4-on-april-24,1777017600,False,9.247613825114385,-0.043761782210396456,39.70885429492499
XRP,2026-04-25,xrp-above-1pt5-on-april-25,1777018500,False,4.06468396213532,-0.029433556032604613,64.77473457889842
BTC,2026-04-26,bitcoin-above-80k-on-april-26,1777019400,True,8.783014132611747,-0.15653248730252925,-14.332932208796871
BTC,2026-04-28,bitcoin-above-78k-on-april-28,1777019400,True,10.22615881653157,-0.23798173053705698,-44.74928945275128
BTC,2026-04-27,bitcoin-above-78k-on-april-27,1777021200,True,12.518148278049702,-0.2997197331463003,-35.7658138294571
BTC,2026-04-29,bitcoin-above-78k-on-april-29,1777022100,False,9.108470785630747,-0.10561481664716266,109.06785066749211
BTC,2026-04-29,bitcoin-above-76k-on-april-29,1777023000,False,8.193205895247344,-0.07595983194597145,85.80884024037923
BTC,2026-04-24,bitcoin-above-76k-on-april-24,1777023900,True,4.670095949860178,0.01573257078816132,-9.135215353463101
BTC,2026-04-28,bitcoin-above-76k-on-april-28,1777023900,False,9.082061418580563,-0.0766222895621916,77.44724719797009
SOL,2026-04-26,solana-above-90-on-april-26,1777024800,False,4.215651485487095,-0.03293423114889069,71.10830218916463
ETH,2026-04-24,ethereum-above-2300-on-april-24,1777029300,True,18.962473538940394,0.20561965671432078,-47.82875178069249
ETH,2026-04-27,ethereum-above-2300-on-april-27,1777030200,True,9.27864135779071,-0.3878957190067452,-34.97273202338498
ETH,2026-04-30,ethereum-above-2300-on-april-30,1777031100,True,5.847411004642192,-0.40016430060311764,-58.51693891856739
SOL,2026-04-25,solana-above-90-on-april-25,1777033800,False,5.01751452718189,0.010413987085755957,-27.790661702658763
XRP,2026-04-30,xrp-above-1pt5-on-april-30,1777036500,True,4.796774386509017,-0.010378566878327755,-81.50799243838826
XRP,2026-04-30,xrp-above-1pt4-on-april-30,1777038300,False,5.215526436282516,-0.0049781273020814785,2.086448524451665
XRP,2026-04-28,xrp-above-1pt5-on-april-28,1777038300,True,5.2326714778978625,0.03687571307363647,-56.499295833285466
ETH,2026-04-26,ethereum-above-2300-on-april-26,1777039200,True,12.723158866611653,0.2675688242713321,-45.71738061969303
XRP,2026-04-27,xrp-above-1pt5-on-april-27,1777041000,False,4.912691230887836,-0.02829263634056617,50.237337027169964
XRP,2026-04-29,xrp-above-1pt4-on-april-29,1777041900,False,5.702726793180941,-0.012500786318258697,14.60615804795598
SOL,2026-04-29,solana-above-90-on-april-29,1777041900,False,5.00777727120156,-0.015703613177390448,24.337961831007835
SOL,2026-04-27,solana-above-90-on-april-27,1777055400,True,5.490776222429457,0.014139446323356328,159.94817720512162
BTC,2026-04-25,bitcoin-above-78k-on-april-25,1777064400,True,35.353933519741545,-0.218511041019084,-16.201065143921124
ETH,2026-04-29,ethereum-above-2400-on-april-29,1777084200,False,5.763810753300642,0.0031301421599647817,-12.431692051974844
ETH,2026-04-28,ethereum-above-2300-on-april-28,1777084200,False,7.42009378916229,0.004029616757810688,-12.431692051974844
ETH,2026-04-29,ethereum-above-2300-on-april-29,1777086000,False,7.340342176049848,-0.0007348485900659273,-5.999900901057602
BTC,2026-04-26,bitcoin-above-78k-on-april-26,1777104000,False,21.60972982301949,-0.06608711002061761,23.341411154907338
BTC,2026-04-30,bitcoin-above-78k-on-april-30,1777104900,False,9.2265652784453,-0.022640077645703367,17.312111314429036
BTC,2026-04-28,bitcoin-above-78k-on-april-28,1777105800,False,12.50203022959319,-0.015282961289575837,5.013451362278049
BTC,2026-04-27,bitcoin-above-78k-on-april-27,1777107600,True,16.31597049228349,-0.23972977749278218,-6.8632108901519455
BTC,2026-04-28,bitcoin-above-76k-on-april-28,1777110300,False,9.74843340385366,0.00010014194211052478,-7.259505093441414
BTC,2026-04-29,bitcoin-above-76k-on-april-29,1777125600,True,9.087869757249283,-0.520868683734381,-46.62961017933308
ETH,2026-04-27,ethereum-above-2300-on-april-27,1777126500,True,12.665879617029669,-0.34540071502123537,-43.749934685920124
BTC,2026-04-29,bitcoin-above-78k-on-april-29,1777128300,True,11.27866519788299,-0.18367667775070873,-52.616874971543545
ETH,2026-04-29,ethereum-above-2200-on-april-29,1777133700,False,5.010511325120166,-0.003964059597633103,0.9089590909749071
BTC,2026-04-30,bitcoin-above-76k-on-april-30,1777144500,False,8.502645278543145,-0.03399119187908715,32.97541763058736
ETH,2026-04-28,ethereum-above-2200-on-april-28,1777190400,False,3.9140929392594432,-0.010700600071582207,20.183457707678745
ETH,2026-04-29,ethereum-above-2300-on-april-29,1777191300,False,7.665926430102285,0.002224326952252875,-10.035209844693567
ETH,2026-04-30,ethereum-above-2300-on-april-30,1777194000,False,6.511635521233392,0.0051477684692491955,-14.974462548399734
ETH,2026-04-28,ethereum-above-2300-on-april-28,1777194000,False,9.327932245099502,0.007374189685223783,-14.974462548399734
BTC,2026-04-28,bitcoin-above-78k-on-april-28,1777203000,True,13.65015700120893,-0.14920037992600915,-7.954321899327146
BTC,2026-04-26,bitcoin-above-78k-on-april-26,1777207500,True,60.53883189366326,0.5066952716210023,-15.010618862272814
BTC,2026-04-30,bitcoin-above-78k-on-april-30,1777212900,False,9.871304379850843,-0.02393223995824722,17.244252874115954
BTC,2026-04-29,bitcoin-above-78k-on-april-29,1777258800,True,10.858630907411243,-0.23085087763670759,-3.0991781485505556
BTC,2026-04-29,bitcoin-above-80k-on-april-29,1777259700,True,11.578553082507494,0.11048564861635196,-13.08155540326387
ETH,2026-04-29,ethereum-above-2400-on-april-29,1777266900,True,8.546275923685855,0.0031764723975453643,-121.85615083195654
SOL,2026-04-29,solana-above-90-on-april-29,1777266900,True,6.423880414962818,0.1238843496284439,-107.74593026720146
ETH,2026-04-27,ethereum-above-2300-on-april-27,1777266900,True,8.31263092984941,-0.5840898981408197,-121.85615083195654
BTC,2026-04-30,bitcoin-above-80k-on-april-30,1777266900,True,9.000464445323484,-0.04912365385479772,-73.0613363689116
BTC,2026-04-27,bitcoin-above-78k-on-april-27,1777266900,True,27.660577779653877,-0.003141724853936795,-73.0613363689116
SOL,2026-04-30,solana-above-90-on-april-30,1777266900,True,6.056575979077031,0.06093913063970871,-90.28884116696929
ETH,2026-04-29,ethereum-above-2300-on-april-29,1777291200,True,10.243936761581844,-0.35689016417668645,-112.02887305957509
SOL,2026-04-29,solana-above-80-on-april-29,1777293900,False,2.811102967380337,0.02425941957749892,-93.2985805180457
BTC,2026-04-30,bitcoin-above-78k-on-april-30,1777299300,True,11.195308925091926,-0.28423723575455895,-5.136490987758747
ETH,2026-04-30,ethereum-above-2300-on-april-30,1777334400,True,9.280497871962966,-0.35329914001111556,-45.46559957349623
BTC,2026-04-30,bitcoin-above-76k-on-april-30,1777364100,True,11.670082354229974,0.40178016457449184,-7.064765917606175
