asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
BTC,bitcoin-above-84k-on-november-26,84000.0,1764176460,1763768700,0.5970364196317737,4.719444444444444,85252.93,87880.5,5.777595751271791,0.03035545200244482,1,2025-11-26,False,0.56,1763769600.0,0.42275199999999996,0.24737046948273997
BTC,bitcoin-above-88k-on-november-27,88000.0,1764262860,1763770500,0.5635824460162621,5.698611111111111,85515.71,91452.06,5.138275936213913,0.06711479879949203,1,2025-11-27,False,0.29,1763771400.0,0.695587,0.35073264436473167
ETH,ethereum-above-2800-on-november-26,2800.0,1764176460,1763770500,0.8332389396482075,4.698611111111111,2777.49,2949.03,4.182936325394555,0.059928660556244254,1,2025-11-26,False,0.47,1763771400.0,0.512563,0.26188522882704607
BTC,bitcoin-above-84k-on-november-27,84000.0,1764262860,1763770500,0.5960924070568827,5.698611111111111,85515.71,91452.06,5.247134735316745,0.06711479879949203,1,2025-11-27,False,0.56,1763771400.0,0.42275199999999996,0.07059160796539071
ETH,ethereum-above-2900-on-november-26,2900.0,1764176460,1763770500,0.8172744217639711,4.698611111111111,2777.49,2949.03,3.774101003523478,0.059928660556244254,1,2025-11-26,False,0.26,1763771400.0,0.726532,0.5003551820548606
ETH,ethereum-above-2400-on-november-27,2400.0,1764262860,1763780400,0.7015900932584125,5.584027777777778,2752.84,3019.61,1.4104440089114056,0.09249457791950613,1,2025-11-27,False,0.87,1763781300.0,0.122083,-0.008375423283356609
BTC,bitcoin-above-88k-on-november-27,88000.0,1764262860,1763961300,0.5673734283538786,3.4902777777777776,87575.93,91452.06,7.143241679404574,0.043308712057453576,1,2025-11-27,False,0.48,1763962200.0,0.502528,0.19316340294986617
ETH,ethereum-above-2800-on-november-27,2800.0,1764262860,1763961300,0.8620541735303746,3.4902777777777776,2879.61,3019.61,4.537077474281008,0.047472815663239215,1,2025-11-27,False,0.59,1763962200.0,0.39306700000000006,0.17767915741362278
ETH,ethereum-above-2900-on-november-27,2900.0,1764262860,1763961300,0.8342430915980399,3.4902777777777776,2879.61,3019.61,4.850829400238986,0.047472815663239215,1,2025-11-27,False,0.4,1763962200.0,0.5831999999999999,0.3529174700686333
BTC,bitcoin-above-88k-on-november-30,88000.0,1764522060,1764110700,0.46334396861293886,4.761111111111111,87339.6,91748.01,7.432092218379283,0.049241829082305594,1,2025-11-30,False,0.41,1764111600.0,0.5730670000000001,0.20709718525863408
